rho_gedf,TT_l200,dTT_l200_pct_vs0,TT_l1000,dTT_l1000_pct_vs0,TT_l2000,dTT_l2000_pct_vs0
0,1.177777630702206e-13,0.0,8.984956944132881e-16,0.0,4.8865910491206765e-17,0.0
100,1.177777486533784e-13,-1.2240716595890433e-05,8.986951719226304e-16,0.02220127604199984,4.8865128950746416e-17,-0.0015993572052397376
400,1.1777772831498667e-13,-2.9509164567453894e-05,8.98695289875676e-16,0.02221440387848439,4.886525824805823e-17,-0.0013347610675396027
1600,1.177777520368048e-13,-9.367995712494803e-06,8.98495829073651e-16,1.4987313079473097e-05,4.88654923613274e-17,-0.0008556678370630344
6400,1.177777655301923e-13,2.0886554707999494e-06,8.984958707259594e-16,1.962309583714017e-05,4.8865614753282624e-17,-0.0006052029342451526
25600,1.1777772103225437e-13,-3.569261729508e-05,8.984959026130801e-16,2.3172041152541567e-05,4.886558195294456e-17,-0.000672326083561714
