rho_gedf,max_abs_dTT_pct,ell_at_max_dTT,max_abs_dEE_pct,ell_at_max_dEE,max_abs_dTE_abs,ell_at_max_dTE
100,0.07344911665891907,2477,0.1233321224140882,836,1.3090594552762297e-19,558
400,0.07379721405265105,2477,0.12329848326708692,836,1.30880137208257e-19,558
1600,0.001037595185504614,361,0.00044142253465828674,2403,9.06538811566532e-21,359
6400,0.0009689463090545303,2395,0.0004816205861901679,2413,7.964846842010084e-21,2
25600,0.0009001223640892064,2416,0.0004301079667312635,2408,7.936007450466848e-21,2
