# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381341744584e-10       4.175826749064e-15       3.515670807552e-13       2.323354795770e-19       8.285959806889e-09       4.560819977388e-10      -1.840536642695e-12 
    3       1.306090252791e-10       5.350738778608e-15       3.951459402636e-13       4.647613718596e-19       5.086968937116e-09       3.225668434305e-10      -1.393793194812e-12 
    4       1.235440074319e-10       4.626594925801e-15       3.695226975008e-13       7.748015885099e-19       3.522976273044e-09       2.438425221798e-10      -9.121458058004e-13 
    5       1.182607335391e-10       3.085420338908e-15       3.146794044327e-13       1.162572225710e-18       2.621510705783e-09       1.923939882531e-10      -5.066439180003e-13 
    6       1.146401463060e-10       1.725241205676e-15       2.534364590383e-13       1.628214663929e-18       2.042587635052e-09       1.563949563693e-10      -2.079556328784e-13 
    7       1.122828566435e-10       9.333110601961e-16       1.989897785016e-13       2.171893222836e-18       1.644359382311e-09       1.299943100504e-10      -1.757526964106e-14 
    8       1.109087584523e-10       6.037250771981e-16       1.571115548811e-13       2.793792489108e-18       1.356594591601e-09       1.099894066014e-10       7.944460955995e-14 
    9       1.102698331859e-10       4.858379736274e-16       1.290808075035e-13       3.494114386936e-18       1.140656432275e-09       9.448252992720e-11       1.064459740123e-13 
   10       1.101359015071e-10       4.149681085115e-16       1.135730472643e-13       4.273075066715e-18       9.737543394200e-10       8.220687156256e-11       8.927583866534e-14 
   11       1.104479131714e-10       3.497403120105e-16       1.079303126070e-13       5.130901690691e-18       8.334466124039e-10       7.302020716555e-11       5.202265936568e-14 
   12       1.110546979491e-10       3.058089341496e-16       1.090956239063e-13       6.067829195219e-18       7.284105756984e-10       6.456669384014e-11       1.226568461705e-14 
   13       1.119057010592e-10       2.941677993415e-16       1.143866176225e-13       7.084097107672e-18       6.421613113013e-10       5.770063838264e-11      -1.799996748904e-14 
   14       1.129532968454e-10       3.068444150875e-16       1.217829349604e-13       8.179946492078e-18       5.703862133252e-10       5.172041770270e-11      -3.451792278829e-14 
   15       1.141846450910e-10       3.321007901218e-16       1.299964643424e-13       9.355617091372e-18       5.099614566041e-10       4.668982634069e-11      -3.749774976845e-14 
   16       1.155249392175e-10       3.674168918714e-16       1.383647948695e-13       1.061134472601e-17       4.585756422700e-10       4.235384162900e-11      -3.090285527544e-14 
   17       1.170012582440e-10       4.183301879998e-16       1.466660526401e-13       1.194735899880e-17       4.144862523224e-10       3.856975130541e-11      -1.993081689803e-14 
   18       1.185506183998e-10       4.902664430245e-16       1.551615842821e-13       1.336388121838e-17       3.762160466609e-10       3.526911985370e-11      -9.467904235393e-15 
   19       1.201843441479e-10       5.835499404780e-16       1.640745504019e-13       1.486112345190e-17       3.431478776698e-10       3.240472528728e-11      -2.114106239747e-15 
   20       1.218951135348e-10       6.961797336810e-16       1.735445642036e-13       1.643928593281e-17       3.140215700899e-10       2.986222826564e-11       4.241023854536e-16 
   21       1.236842452805e-10       8.275212152238e-16       1.835225435083e-13       1.809855819701e-17       2.883792838543e-10       2.759564975980e-11      -1.288843894729e-15 
   22       1.255257587733e-10       9.770890429449e-16       1.938202391056e-13       1.983911638756e-17       2.656039474610e-10       2.554801038537e-11      -5.507922666597e-15 
   23       1.274259987130e-10       1.145052633906e-15       2.041145742169e-13       2.166112602433e-17       2.453909041218e-10       2.371070608332e-11      -1.047971340914e-14 
   24       1.293791683991e-10       1.331627037743e-15       2.139929941789e-13       2.356473884972e-17       2.272788859480e-10       2.206696901032e-11      -1.433717814570e-14 
   25       1.313800711447e-10       1.537027829387e-15       2.231478309309e-13       2.555009615668e-17       2.110223714024e-10       2.059458007362e-11      -1.626948226184e-14 
   26       1.334110739013e-10       1.761626237085e-15       2.313154916245e-13       2.761732664293e-17       1.963033712774e-10       1.925674698913e-11      -1.595142572928e-14 
   27       1.354817722725e-10       2.007053755680e-15       2.384244335194e-13       2.976655400955e-17       1.830456667861e-10       1.804421516724e-11      -1.389536215063e-14 
   28       1.375948405947e-10       2.275567220015e-15       2.444862451712e-13       3.199788988863e-17       1.710886858275e-10       1.694157459120e-11      -1.110504533870e-14 
   29       1.397393543147e-10       2.569447488557e-15       2.495434795584e-13       3.431143405236e-17       1.601421993515e-10       1.592244056767e-11      -8.700295858237e-15 
   30       1.419219154287e-10       2.889786143454e-15       2.536443946627e-13       3.670728694140e-17       1.501459039003e-10       1.498576988162e-11      -7.069817134076e-15 
   31       1.441442440524e-10       3.237208517260e-15       2.568627705400e-13       3.918554101072e-17       1.410256264107e-10       1.413164291256e-11      -6.393754100723e-15 
   32       1.463982954346e-10       3.612286133528e-15       2.592662386206e-13       4.174627996259e-17       1.326371123141e-10       1.335309111576e-11      -6.759495156439e-15 
   33       1.486835364281e-10       4.015955915367e-15       2.607741247689e-13       4.438958912944e-17       1.249347089754e-10       1.264355223766e-11      -7.814635541258e-15 
   34       1.509935915732e-10       4.449245205694e-15       2.612458174355e-13       4.711554842669e-17       1.178502483849e-10       1.199071298402e-11      -8.971471081973e-15 
   35       1.533171636073e-10       4.913144925472e-15       2.605318599214e-13       4.992423175299e-17       1.112783377209e-10       1.137875973733e-11      -9.639300127455e-15 
   36       1.556612221244e-10       5.408556497349e-15       2.585298298845e-13       5.281571494495e-17       1.052019474755e-10       1.080559783002e-11      -9.755641581359e-15 
   37       1.580343701683e-10       5.936320837193e-15       2.551460572381e-13       5.579007047812e-17       9.960205875402e-11       1.027078375937e-11      -9.435352965196e-15 
   38       1.604398708016e-10       6.497227437730e-15       2.502801836274e-13       5.884736538296e-17       9.441969316665e-11       9.770561811800e-12      -8.833726930354e-15 
   39       1.628767277243e-10       7.092002373798e-15       2.438494595868e-13       6.198766176388e-17       8.957719024226e-11       9.299651041046e-12      -8.125271998173e-15 
   40       1.653449547056e-10       7.721276876899e-15       2.358728228168e-13       6.521101852529e-17       8.505973490345e-11       8.858106229211e-12      -7.424105422207e-15 
   41       1.678410124449e-10       8.385601520223e-15       2.264146498246e-13       6.851749026426e-17       8.085545753749e-11       8.446268482679e-12      -6.841402276420e-15 
   42       1.703557186147e-10       9.085448931290e-15       2.155638038637e-13       7.190712687594e-17       7.693110724161e-11       8.062711637064e-12      -6.508370849555e-15 
   43       1.728787113555e-10       9.821275161251e-15       2.034000591208e-13       7.537997146087e-17       7.324435257833e-11       7.704943326966e-12      -6.535727372280e-15 
   44       1.754147426417e-10       1.059373742850e-14       1.898775536537e-13       7.893605313362e-17       6.978952370193e-11       7.372139696323e-12      -6.874331966664e-15 
   45       1.779715831199e-10       1.140353660576e-14       1.749073511408e-13       8.257539206684e-17       6.656310413572e-11       7.062999915084e-12      -7.413011234544e-15 
   46       1.805552758055e-10       1.225135684876e-14       1.583884598855e-13       8.629800136798e-17       6.354999673446e-11       6.774864018080e-12      -8.014980999180e-15 
   47       1.831699287822e-10       1.313786522419e-14       1.402070165950e-13       9.010388699966e-17       6.072262076110e-11       6.503611031118e-12      -8.516345612148e-15 
   48       1.858176991072e-10       1.406362337608e-14       1.202589088353e-13       9.399304505705e-17       5.804940342510e-11       6.244849000748e-12      -8.770901724209e-15 
   49       1.884992228665e-10       1.502879394852e-14       9.852708772686e-14       9.796545287810e-17       5.552519183142e-11       5.998119465910e-12      -8.802985805414e-15 
   50       1.912129501807e-10       1.603335076783e-14       7.502464639231e-14       1.020210752906e-16       5.314786246405e-11       5.763703144561e-12      -8.695134110126e-15 
   51       1.939547718977e-10       1.707715483851e-14       4.977365434153e-14       1.061598668273e-16       5.090926201662e-11       5.541396432532e-12      -8.546380574318e-15 
   52       1.967178220477e-10       1.815994948329e-14       2.280553710183e-14       1.103817715116e-16       4.879478377843e-11       5.330475443071e-12      -8.473118595124e-15 
   53       1.994951467330e-10       1.928147898040e-14      -5.852410786101e-15       1.146867244340e-16       4.678795467951e-11       5.130007944757e-12      -8.579269434959e-15 
   54       2.022889712304e-10       2.044189147733e-14      -3.622243219411e-14       1.190746574520e-16       4.488655630584e-11       4.939966122026e-12      -8.855797950095e-15 
   55       2.051034715643e-10       2.164143121333e-14      -6.834191527785e-14       1.235454945825e-16       4.308991098930e-11       4.760337279136e-12      -9.256860008088e-15 
   56       2.079420410360e-10       2.288032440209e-14      -1.022507460908e-13       1.280991502022e-16       4.139402528354e-11       4.590780095435e-12      -9.727818574319e-15 
   57       2.108072128640e-10       2.415877954990e-14      -1.379915103644e-13       1.327355289088e-16       3.979137644048e-11       4.430603251838e-12      -1.020481855757e-14 
   58       2.137005828245e-10       2.547698777383e-14      -1.756096952882e-13       1.374545253812e-16       3.827069888682e-11       4.278744057316e-12      -1.061436165561e-14 
   59       2.166231237010e-10       2.683500518641e-14      -2.151409435574e-13       1.422560331143e-16       3.682008519569e-11       4.134056288363e-12      -1.089084384712e-14 
   60       2.195763896080e-10       2.823236743149e-14      -2.565689007034e-13       1.471399733081e-16       3.543761489465e-11       3.996300308818e-12      -1.103488940256e-14 
   61       2.225614551214e-10       2.966838603539e-14      -2.998579178790e-13       1.521062724527e-16       3.412282099769e-11       3.865345519336e-12      -1.106783644280e-14 
   62       2.255784852908e-10       3.114225486518e-14      -3.449649065985e-13       1.571548542032e-16       3.287349343609e-11       3.740870692183e-12      -1.101514540298e-14 
   63       2.286266715611e-10       3.265304644910e-14      -3.918391016113e-13       1.622856395404e-16       3.168557789076e-11       3.622353079523e-12      -1.090658278133e-14 
   64       2.317041676944e-10       3.419970829705e-14      -4.404218237763e-13       1.674985469331e-16       3.055307462444e-11       3.509057521688e-12      -1.077640488802e-14 
   65       2.348090038992e-10       3.578117754038e-14      -4.906590629925e-13       1.727935053042e-16       2.946969395518e-11       3.400238571299e-12      -1.065581524435e-14 
   66       2.379421981635e-10       3.739676133554e-14      -5.425428569506e-13       1.781704957617e-16       2.843445741586e-11       3.295821083697e-12      -1.054806741201e-14 
   67       2.411051912499e-10       3.904583068383e-14      -5.960782776934e-13       1.836295190204e-16       2.744710548168e-11       3.195844719719e-12      -1.044840226239e-14 
   68       2.442988906016e-10       4.072770885773e-14      -6.512715040320e-13       1.891705838864e-16       2.650639454227e-11       3.100258807372e-12      -1.035127729181e-14 
   69       2.475236336274e-10       4.244167103098e-14      -7.081299430230e-13       1.947937077769e-16       2.561004487078e-11       3.008917408600e-12      -1.025033424869e-14 
   70       2.507791509852e-10       4.418694390863e-14      -7.666623514455e-13       2.004989172396e-16       2.475468859299e-11       2.921574386046e-12      -1.013836676070e-14 
   71       2.540645298673e-10       4.596270535712e-14      -8.268789572779e-13       2.062862484725e-16       2.393581765638e-11       2.837878469820e-12      -1.000728796199e-14 
   72       2.573787993718e-10       4.776804934555e-14      -8.887830966234e-13       2.121557544891e-16       2.314894342121e-11       2.757468397341e-12      -9.850541615632e-15 
   73       2.607228982929e-10       4.960187380085e-14      -9.523439960771e-13       2.181075270513e-16       2.239344874471e-11       2.680290437800e-12      -9.670943225717e-15 
   74       2.640980204557e-10       5.146297045763e-14      -1.017518961139e-12       2.241416799053e-16       2.166938471885e-11       2.606333185149e-12      -9.474292531181e-15 
   75       2.675050039660e-10       5.335005649756e-14      -1.084261326853e-12       2.302583431691e-16       2.097630060931e-11       2.535530281932e-12      -9.267086385563e-15 
   76       2.709443086977e-10       5.526177338736e-14      -1.152520385574e-12       2.364576640034e-16       2.031321948716e-11       2.467757770827e-12      -9.056542171746e-15 
