# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381337011265e-10       4.175594413761e-15       3.515670846108e-13       0.000000000000e+00       8.285959804398e-09       4.560819975356e-10      -1.840536643755e-12 
    3       1.306080810181e-10       5.350274016810e-15       3.951459574892e-13       0.000000000000e+00       5.086968935991e-09       3.225668432948e-10      -1.393793195257e-12 
    4       1.235424385629e-10       4.625820121557e-15       3.695227470728e-13       0.000000000000e+00       3.522976272209e-09       2.438425220941e-10      -9.121458049687e-13 
    5       1.182583897897e-10       3.084257757779e-15       3.146795173199e-13       0.000000000000e+00       2.621510705256e-09       1.923939881784e-10      -5.066439183589e-13 
    6       1.146368800831e-10       1.723612967227e-15       2.534366809457e-13       0.000000000000e+00       2.042587634850e-09       1.563949562477e-10      -2.079556354841e-13 
    7       1.122785254820e-10       9.311391122945e-16       1.989901733518e-13       0.000000000000e+00       1.644359382314e-09       1.299943102434e-10      -1.757527189911e-14 
    8       1.109032226443e-10       6.009311720475e-16       1.571122063432e-13       0.000000000000e+00       1.356594591863e-09       1.099894069345e-10       7.944461046312e-14 
    9       1.102629595861e-10       4.823436473837e-16       1.290818200763e-13       0.000000000000e+00       1.140656432434e-09       9.448253009162e-11       1.064459773267e-13 
   10       1.101275593468e-10       4.106946628584e-16       1.135745499545e-13       0.000000000000e+00       9.737543390969e-10       8.220687142231e-11       8.927584084708e-14 
   11       1.104379799254e-10       3.446088003563e-16       1.079324580609e-13       0.000000000000e+00       8.334466130289e-10       7.302020730111e-11       5.202265786792e-14 
   12       1.110430518403e-10       2.997401544100e-16       1.090985925143e-13       0.000000000000e+00       7.284105762834e-10       6.456669425424e-11       1.226568018770e-14 
   13       1.118922295214e-10       2.870822852361e-16       1.143906179805e-13       0.000000000000e+00       6.421613118774e-10       5.770063852978e-11      -1.799997187749e-14 
   14       1.129378866210e-10       2.986624398598e-16       1.217882005212e-13       0.000000000000e+00       5.703862138818e-10       5.172041754604e-11      -3.451792457766e-14 
