# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653449510056e-10       7.721277619292e-15       2.358728132093e-13       6.521309167386e-17       8.505973481755e-11       8.858102181001e-12      -7.424104888160e-15 
   41       1.678410083043e-10       8.385601661069e-15       2.264146431577e-13       6.851965260003e-17       8.085545744547e-11       8.446265237408e-12      -6.841402102075e-15 
   42       1.703557145526e-10       9.085448422026e-15       2.155638006536e-13       7.190931486638e-17       7.693110714453e-11       8.062708701077e-12      -6.508370973788e-15 
   43       1.728787079444e-10       9.821273977116e-15       2.034000598639e-13       7.538211758042e-17       7.324435247881e-11       7.704940017575e-12      -6.535727548631e-15 
   44       1.754147403065e-10       1.059373556849e-14       1.898775586641e-13       7.893809084008e-17       6.978952360256e-11       7.372135408701e-12      -6.874331970993e-15 
   45       1.779715820481e-10       1.140353409543e-14       1.749073604722e-13       8.257725837190e-17       6.656310403853e-11       7.062994225968e-12      -7.413010936986e-15 
   46       1.805552758980e-10       1.225135374420e-14       1.583884732837e-13       8.629963855821e-17       6.354999664080e-11       6.774856728722e-12      -8.014980385030e-15 
   47       1.831699296017e-10       1.313786161624e-14       1.402070334480e-13       9.010524446935e-17       6.072262067142e-11       6.503602212765e-12      -8.516344803963e-15 
   48       1.858176999302e-10       1.406361938992e-14       1.202589282037e-13       9.399408113339e-17       5.804940333906e-11       6.244838999736e-12      -8.770900965595e-15 
   49       1.884992230891e-10       1.502878972763e-14       9.852710864904e-14       9.796613636018e-17       5.552519174851e-11       5.998108768268e-12      -8.802985314265e-15 
   50       1.912129494652e-10       1.603334646957e-14       7.502466798755e-14       1.020213873860e-16       5.314786238378e-11       5.763692345844e-12      -8.695134027696e-15 
   51       1.939547702247e-10       1.707715063393e-14       4.977367583903e-14       1.061598033042e-16       5.090926193856e-11       5.541386247426e-12      -8.546380949809e-15 
   52       1.967178197697e-10       1.815994555701e-14       2.280555787113e-14       1.103813449562e-16       4.879478370221e-11       5.330466715341e-12      -8.473119369478e-15 
   53       1.994951445263e-10       1.928147552596e-14      -5.852391257193e-15       1.146859644408e-16       4.678795460485e-11       5.130001589221e-12      -8.579270450052e-15 
   54       2.022889697012e-10       2.044188867788e-14      -3.622241449893e-14       1.190736037448e-16       4.488655623250e-11       4.939962841329e-12      -8.855799043697e-15 
   55       2.051034711162e-10       2.164142923318e-14      -6.834190015562e-14       1.235441955702e-16       4.308991091710e-11       4.760337448403e-12      -9.256861043702e-15 
   56       2.079420418332e-10       2.288032338208e-14      -1.022507344417e-13       1.280976635640e-16       4.139402521235e-11       4.590783707689e-12      -9.727819447031e-15 
   57       2.108072147929e-10       2.415877960254e-14      -1.379915032652e-13       1.327339221934e-16       3.979137637026e-11       4.430609860891e-12      -1.020481920019e-14 
   58       2.137005854534e-10       2.547698897822e-14      -1.756096940089e-13       1.374528766206e-16       3.827069881761e-11       4.278752718130e-12      -1.061436204509e-14 
   59       2.166231263207e-10       2.683500758392e-14      -2.151409494825e-13       1.422544288462e-16       3.682008512761e-11       4.134065636492e-12      -1.089084400285e-14 
   60       2.195763915406e-10       2.823237102431e-14      -2.565689149442e-13       1.471384980869e-16       3.543761482781e-11       3.996309100514e-12      -1.103488935736e-14 
   61       2.225614558205e-10       2.966839078249e-14      -2.998579411248e-13       1.521050049180e-16       3.412282093216e-11       3.865352813691e-12      -1.106783623533e-14 
   62       2.255784843653e-10       3.114226067710e-14      -3.449649390527e-13       1.571538655073e-16       3.287349337194e-11       3.740875903306e-12      -1.101514507812e-14 
   63       2.286266687999e-10       3.265305318265e-14      -3.918391429265e-13       1.622849917034e-16       3.168557782799e-11       3.622356030980e-12      -1.090658239049e-14 
   64       2.317041630924e-10       3.419971574964e-14      -4.404218729852e-13       1.674982911228e-16       3.055307456303e-11       3.509058503226e-12      -1.077640448951e-14 
   65       2.348089976494e-10       3.578118545529e-14      -4.906591185491e-13       1.727936803717e-16       2.946969389505e-11       3.400238282509e-12      -1.065581490045e-14 
   66       2.379421905355e-10       3.739676944245e-14      -5.425429171300e-13       1.781711277680e-16       2.843445735695e-11       3.295820205613e-12      -1.054806717538e-14 
   67       2.411051825595e-10       3.904583871113e-14      -5.960783407044e-13       1.836306198505e-16       2.744710542391e-11       3.195843783512e-12      -1.044840217084e-14 
   68       2.442988812138e-10       4.072771653472e-14      -6.512715680248e-13       1.891721494899e-16       2.650639448558e-11       3.100258170485e-12      -1.035127736615e-14 
   69       2.475236239591e-10       4.244167809011e-14      -7.081300060977e-13       1.947957163442e-16       2.561004481512e-11       3.008917229924e-12      -1.025033449046e-14 
   70       2.507791415083e-10       4.418695008790e-14      -7.666624116609e-13       2.005013273135e-16       2.475468853831e-11       2.921574600144e-12      -1.013836714985e-14 
   71       2.540645211115e-10       4.596271040251e-14      -8.268790126610e-13       2.062889969950e-16       2.393581760266e-11       2.837878760199e-12      -1.000728845439e-14 
   72       2.573787918988e-10       4.776805301969e-14      -8.887831452265e-13       2.121587589342e-16       2.314894336842e-11       2.757468233230e-12      -9.850542146494e-15 
   73       2.607228925759e-10       4.960187591110e-14      -9.523440361872e-13       2.181107008659e-16       2.239344869284e-11       2.680289317686e-12      -9.670943731914e-15 
   74       2.640980168353e-10       5.146297086872e-14      -1.017518991365e-12       2.241449370914e-16       2.166938466788e-11       2.606330711702e-12      -9.474292958104e-15 
