# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381341744189e-10       4.175826749397e-15       3.515670807889e-13       2.323354773819e-19       8.285959803929e-09       4.560819976510e-10      -1.840536643472e-12 
    3       1.306090253052e-10       5.350738778719e-15       3.951459403041e-13       4.647613673976e-19       5.086968934922e-09       3.225668446111e-10      -1.393793195063e-12 
    4       1.235440073454e-10       4.626594925594e-15       3.695226974931e-13       7.748015809178e-19       3.522976271459e-09       2.438425218141e-10      -9.121458056484e-13 
    5       1.182607334822e-10       3.085420338502e-15       3.146794043536e-13       1.162572214041e-18       2.621510704850e-09       1.923939864226e-10      -5.066439193297e-13 
    6       1.146401462079e-10       1.725241205256e-15       2.534364586262e-13       1.628214647142e-18       2.042587634745e-09       1.563949565329e-10      -2.079556350607e-13 
    7       1.122828568410e-10       9.333110600045e-16       1.989897784351e-13       2.171893199790e-18       1.644359382294e-09       1.299943122547e-10      -1.757526975491e-14 
    8       1.109087583606e-10       6.037250770325e-16       1.571115554363e-13       2.793792458564e-18       1.356594591730e-09       1.099894067458e-10       7.944461226083e-14 
    9       1.102698330739e-10       4.858379738334e-16       1.290808074476e-13       3.494114347567e-18       1.140656432442e-09       9.448252772352e-11       1.064459767399e-13 
   10       1.101359012567e-10       4.149681086689e-16       1.135730477548e-13       4.273075017115e-18       9.737543393292e-10       8.220687162832e-11       8.927583864660e-14 
   11       1.104479134551e-10       3.497403116467e-16       1.079303122076e-13       5.130901629402e-18       8.334466121542e-10       7.302020989735e-11       5.202265702469e-14 
   12       1.110546978540e-10       3.058089349417e-16       1.090956241278e-13       6.067829120751e-18       7.284105754746e-10       6.456669429630e-11       1.226568258599e-14 
   13       1.119057007305e-10       2.941677980961e-16       1.143866196117e-13       7.084097018536e-18       6.421613111467e-10       5.770063573488e-11      -1.799996747678e-14 
   14       1.129532965429e-10       3.068444129841e-16       1.217829348008e-13       8.179946386812e-18       5.703862132372e-10       5.172041730539e-11      -3.451792130894e-14 
   15       1.141846451874e-10       3.321007913859e-16       1.299964649831e-13       9.355616968581e-18       5.099614565232e-10       4.668982940283e-11      -3.749774824926e-14 
   16       1.155249393375e-10       3.674168886792e-16       1.383647967206e-13       1.061134458439e-17       4.585756421919e-10       4.235384259995e-11      -3.090285398119e-14 
   17       1.170012574922e-10       4.183301799524e-16       1.466660512174e-13       1.194735883718e-17       4.144862522499e-10       3.856974838721e-11      -1.993081478490e-14 
   18       1.185506176294e-10       4.902664364638e-16       1.551615813000e-13       1.336388103573e-17       3.762160465757e-10       3.526911909521e-11      -9.467900420666e-15 
   19       1.201843437478e-10       5.835499420236e-16       1.640745484432e-13       1.486112324736e-17       3.431478775645e-10       3.240472838571e-11      -2.114100724181e-15 
   20       1.218951125928e-10       6.961797470468e-16       1.735445638089e-13       1.643928570571e-17       3.140215699791e-10       2.986222908504e-11       4.241085680792e-16 
   21       1.236842435332e-10       8.275212349067e-16       1.835225446033e-13       1.809855794686e-17       2.883792837493e-10       2.759564667223e-11      -1.288838180707e-15 
   22       1.255257570874e-10       9.770890542335e-16       1.938202413496e-13       1.983911611406e-17       2.656039473613e-10       2.554800943163e-11      -5.507918226327e-15 
   23       1.274259971723e-10       1.145052631819e-15       2.041145766159e-13       2.166112572736e-17       2.453909040267e-10       2.371070901930e-11      -1.047971049152e-14 
