# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653450359203e-10       7.721284689692e-15       2.358721124606e-13       6.521183569204e-17       8.505914895082e-11       8.857769130537e-12      -7.424051198070e-15 
   41       1.678415365501e-10       8.385613241105e-15       2.264132022361e-13       6.851837306023e-17       8.085489667164e-11       8.445888511678e-12      -6.841400369107e-15 
   42       1.703565866693e-10       9.085464885227e-15       2.155619377185e-13       7.190841735541e-17       7.693057028794e-11       8.062296240364e-12      -6.508413865325e-15 
   43       1.728796976434e-10       9.821295534275e-15       2.033984463183e-13       7.538203421030e-17       7.324383847605e-11       7.704515583068e-12      -6.535790748746e-15 
   44       1.754156350436e-10       1.059376220664e-14       1.898767542719e-13       7.893924929950e-17       6.978903124385e-11       7.371722745018e-12      -6.874392231208e-15 
   45       1.779722324644e-10       1.140356553106e-14       1.749076430484e-13       8.258006613769e-17       6.656263191704e-11       7.062611720729e-12      -7.413052274263e-15 
   46       1.805556110207e-10       1.225138938061e-14       1.583897787368e-13       8.630447247411e-17       6.354954318339e-11       6.774516028811e-12      -8.014995817564e-15 
   47       1.831699729433e-10       1.313790049869e-14       1.402088923886e-13       9.011243964341e-17       6.072218417276e-11       6.503306757657e-12      -8.516338189548e-15 
   48       1.858175625526e-10       1.406366023782e-14       1.202605270686e-13       9.400391957374e-17       5.804898204802e-11       6.244584285223e-12      -8.770886073969e-15 
   49       1.884990177838e-10       1.502883122867e-14       9.852777388725e-14       9.797883632847e-17       5.552478412112e-11       5.997888571707e-12      -8.802975440091e-15 
   50       1.912127631249e-10       1.603338738194e-14       7.502404054217e-14       1.020370910649e-16       5.314746722238e-11       5.763500527867e-12      -8.695138572657e-15 
   51       1.939546578937e-10       1.707718981772e-14       4.977177111035e-14       1.061785634190e-16       5.090887849176e-11       5.541216896369e-12      -8.546404597768e-15 
   52       1.967177983719e-10       1.815998200736e-14       2.280282877485e-14       1.104031107370e-16       4.879441177074e-11       5.330314301253e-12      -8.473161217851e-15 
   53       1.994951951444e-10       1.928150838877e-14      -5.855111602262e-15       1.147105800712e-16       4.678759450413e-11       5.129861166885e-12      -8.579324476099e-15 
   54       2.022890688328e-10       2.044191720345e-14      -3.622437465640e-14       1.191008495593e-16       4.488620826859e-11       4.939830393078e-12      -8.855859079361e-15 
   55       2.051035998420e-10       2.164145277917e-14      -6.834258632328e-14       1.235737963458e-16       4.308957523440e-11       4.760210139781e-12      -9.256922324929e-15 
   56       2.079421868131e-10       2.288034143550e-14      -1.022499140794e-13       1.281292845207e-16       4.139370177902e-11       4.590660117798e-12      -9.727878899565e-15 
   57       2.108073693112e-10       2.415879180278e-14      -1.379892708051e-13       1.327671648854e-16       3.979106496325e-11       4.430490223978e-12      -1.020487573939e-14 
   58       2.137007505141e-10       2.547699514117e-14      -1.756065186470e-13       1.374872747201e-16       3.827039900733e-11       4.278639176396e-12      -1.061441688977e-14 
   59       2.166233100069e-10       2.683500771318e-14      -2.151376214206e-13       1.422894601204e-16       3.681979630805e-11       4.133961927103e-12      -1.089090039868e-14 
   60       2.195766025843e-10       2.823236527808e-14      -2.565661547122e-13       1.471736495975e-16       3.543733639653e-11       3.996218366266e-12      -1.103495033700e-14 
   61       2.225617017029e-10       2.966837947633e-14      -2.998562711200e-13       1.521397971881e-16       3.412255235455e-11       3.865276873354e-12      -1.106790390993e-14 
   62       2.255787710734e-10       3.114224430030e-14      -3.449646504310e-13       1.571878619073e-16       3.287323420380e-11       3.740815052525e-12      -1.101522048672e-14 
   63       2.286270005728e-10       3.265303241511e-14      -3.918402610617e-13       1.623178082802e-16       3.168532773928e-11       3.622308834850e-12      -1.090666534308e-14 
   64       2.317045421561e-10       3.419969147943e-14      -4.404241214986e-13       1.675296068737e-16       3.055283336278e-11       3.509021580537e-12      -1.077649340357e-14 
   65       2.348094240683e-10       3.578115877830e-14      -4.906619558415e-13       1.728232467473e-16       2.946946151872e-11       3.400206580206e-12      -1.065590696243e-14 
   66       2.379426624660e-10       3.739674160288e-14      -5.425458114870e-13       1.781987746782e-16       2.843423372934e-11       3.295788883269e-12      -1.054815957164e-14 
   67       2.411056961676e-10       3.904581108969e-14      -5.960808549459e-13       1.836562652182e-16       2.744689042220e-11       3.195808814882e-12      -1.044849246480e-14 
   68       2.442994304657e-10       4.072769065413e-14      -6.512733753032e-13       1.891958103564e-16       2.650618793876e-11       3.100216482114e-12      -1.035136356664e-14 
   69       2.475242004043e-10       4.244165562069e-14      -7.081309063338e-13       1.948175203842e-16       2.560984650352e-11       3.008866845364e-12      -1.025041512292e-14 
   70       2.507797340562e-10       4.418693285320e-14      -7.666623486164e-13       2.005215247605e-16       2.475449819318e-11       2.921514789799e-12      -1.013844133036e-14 
   71       2.540651158000e-10       4.596270038510e-14      -8.268780916484e-13       2.063079729765e-16       2.393563490587e-11       2.837810196776e-12      -1.000735596645e-14 
   72       2.573793726238e-10       4.776805226769e-14      -8.887816159256e-13       2.121770208844e-16       2.314876795871e-11       2.757392844693e-12      -9.850603378980e-15 
   73       2.607234449317e-10       4.960188612521e-14      -9.523421616119e-13       2.181287847230e-16       2.239328019319e-11       2.680209153002e-12      -9.670999163434e-15 
   74       2.640985294312e-10       5.146299324730e-14      -1.017517009876e-12       2.241633797893e-16       2.166922269604e-11       2.606247613562e-12      -9.474343012545e-15 
   75       2.675054675091e-10       5.335009031440e-14      -1.084259466912e-12       2.302809347177e-16       2.097614473221e-11       2.535441743980e-12      -9.267131724057e-15 
   76       2.709447227336e-10       5.526181823392e-14      -1.152518791530e-12       2.364815920126e-16       2.031306937678e-11       2.467667438244e-12      -9.056582615075e-15 
   77       2.744163583551e-10       5.719674097636e-14      -1.222240122752e-12       2.427655085822e-16       1.967846914694e-11       2.402740317367e-12      -8.850656936426e-15 
   78       2.779200148084e-10       5.915334441145e-14      -1.293364407402e-12       2.491328562712e-16       1.907024163385e-11       2.340413080015e-12      -8.658083287012e-15 
   79       2.814548872137e-10       6.113003514428e-14      -1.365828327705e-12       2.555838223940e-16       1.848568513459e-11       2.280372853158e-12      -8.488381028162e-15 
   80       2.850201671359e-10       6.312519188990e-14      -1.439569660517e-12       2.621185958254e-16       1.792216970290e-11       2.222318699097e-12      -8.349617112435e-15 
   81       2.886165057099e-10       6.513733243268e-14      -1.514544586180e-12       2.687373213151e-16       1.737933812132e-11       2.166215466581e-12      -8.241176424199e-15 
   82       2.922447647285e-10       6.716497367325e-14      -1.590713267527e-12       2.754401381755e-16       1.685724446840e-11       2.112079394960e-12      -8.159772757492e-15 
   83       2.959055612671e-10       6.920658147729e-14      -1.668034712965e-12       2.822271942812e-16       1.635568133695e-11       2.059900726401e-12      -8.101585611538e-15 
   84       2.995992537824e-10       7.126057048468e-14      -1.746466804659e-12       2.890986463346e-16       1.587416834408e-11       2.009642540907e-12      -8.062241631300e-15 
   85       3.033259282112e-10       7.332530391848e-14      -1.825966326709e-12       2.960546601323e-16       1.541194064130e-11       1.961239591330e-12      -8.036796048025e-15 
