# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 4000, i.e. number of multipoles equal to 3999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.652485811270e-10       7.656527494671e-15       2.360643563380e-13       0.000000000000e+00       8.505914895082e-11       8.857769130537e-12      -7.424051198070e-15 
   41       1.677410234217e-10       8.317638165852e-15       2.266195221629e-13       0.000000000000e+00       8.085489667164e-11       8.445888511678e-12      -6.841400369107e-15 
   42       1.702519706665e-10       9.014200900646e-15       2.157827042127e-13       0.000000000000e+00       7.693057028794e-11       8.062296240364e-12      -6.508413865325e-15 
   43       1.727709376751e-10       9.746672709756e-15       2.036339830371e-13       0.000000000000e+00       7.324383847605e-11       7.704515583068e-12      -6.535790748746e-15 
   44       1.753026926518e-10       1.051571181159e-14       1.901273323757e-13       0.000000000000e+00       6.978903124385e-11       7.371722745018e-12      -6.874392231208e-15 
   45       1.778550715707e-10       1.132202012178e-14       1.751734753537e-13       0.000000000000e+00       6.656263191704e-11       7.062611720729e-12      -7.413052274263e-15 
   46       1.804341978872e-10       1.216628288293e-14       1.586710136590e-13       0.000000000000e+00       6.354954318339e-11       6.774516028811e-12      -8.014995817564e-15 
   47       1.830442761310e-10       1.304916829282e-14       1.405056076781e-13       0.000000000000e+00       6.072218417276e-11       6.503306757657e-12      -8.516338189548e-15 
   48       1.856875527241e-10       1.397123925171e-14       1.205727238226e-13       0.000000000000e+00       5.804898204802e-11       6.244584285223e-12      -8.770886073969e-15 
   49       1.883646669915e-10       1.493266005458e-14       9.885537196715e-14       0.000000000000e+00       5.552478412112e-11       5.997888571707e-12      -8.802975440091e-15 
   50       1.910740444655e-10       1.593340638019e-14       7.536687262482e-14       0.000000000000e+00       5.314746722238e-11       5.763500527867e-12      -8.695138572657e-15 
   51       1.938115452940e-10       1.697334121704e-14       5.012957611239e-14       0.000000000000e+00       5.090887849176e-11       5.541216896369e-12      -8.546404597768e-15 
   52       1.965702663651e-10       1.805221000784e-14       2.317524509384e-14       0.000000000000e+00       4.879441177074e-11       5.330314301253e-12      -8.473161217851e-15 
   53       1.993432187938e-10       1.916975924866e-14      -5.468551441338e-15       0.000000000000e+00       4.678759450413e-11       5.129861166885e-12      -8.579324476099e-15 
   54       2.021326241667e-10       2.032613926694e-14      -3.582424429383e-14       0.000000000000e+00       4.488620826859e-11       4.939830393078e-12      -8.855859079361e-15 
   55       2.049426638922e-10       2.152159655242e-14      -6.792956993541e-14       0.000000000000e+00       4.308957523440e-11       4.760210139781e-12      -9.256922324929e-15 
   56       2.077767375033e-10       2.275635968167e-14      -1.018248123373e-13       0.000000000000e+00       4.139370177902e-11       4.590660117798e-12      -9.727878899565e-15 
   57       2.106373853432e-10       2.403063963880e-14      -1.375530069492e-13       0.000000000000e+00       3.979106496325e-11       4.430490223978e-12      -1.020487573939e-14 
   58       2.135262112500e-10       2.534463013623e-14      -1.751601446783e-13       0.000000000000e+00       3.827039900733e-11       4.278639176396e-12      -1.061441688977e-14 
   59       2.164441957140e-10       2.669838992731e-14      -2.146823218791e-13       0.000000000000e+00       3.681979630805e-11       4.133961927103e-12      -1.089090039868e-14 
   60       2.193928958719e-10       2.809145710047e-14      -2.561032422995e-13       0.000000000000e+00       3.543733639653e-11       3.996218366266e-12      -1.103495033700e-14 
   61       2.223733880389e-10       2.952314562040e-14      -2.993871887854e-13       0.000000000000e+00       3.412255235455e-11       3.865276873354e-12      -1.106790390993e-14 
   62       2.253858389686e-10       3.099265185602e-14      -3.444909758503e-13       0.000000000000e+00       3.287323420380e-11       3.740815052525e-12      -1.101522048672e-14 
   63       2.284294417744e-10       3.249905090097e-14      -3.913637111466e-13       0.000000000000e+00       3.168532773928e-11       3.622308834850e-12      -1.090666534308e-14 
   64       2.315023518505e-10       3.404129289406e-14      -4.399465569360e-13       0.000000000000e+00       3.055283336278e-11       3.509021580537e-12      -1.077649340357e-14 
   65       2.346026012198e-10       3.561831755800e-14      -4.901853833128e-13       0.000000000000e+00       2.946946151872e-11       3.400206580206e-12      -1.065590696243e-14 
   66       2.377312105776e-10       3.722943427462e-14      -5.420723782863e-13       0.000000000000e+00       2.843423372934e-11       3.295788883269e-12      -1.054815957164e-14 
   67       2.408896237255e-10       3.887401616329e-14      -5.956128496385e-13       0.000000000000e+00       2.744689042220e-11       3.195808814882e-12      -1.044849246480e-14 
   68       2.440787512777e-10       4.055138859959e-14      -6.508132305598e-13       0.000000000000e+00       2.650618793876e-11       3.100216482114e-12      -1.035136356664e-14 
   69       2.472989339508e-10       4.226082884256e-14      -7.076812017284e-13       0.000000000000e+00       2.560984650352e-11       3.008866845364e-12      -1.025041512292e-14 
   70       2.505499058539e-10       4.400156566195e-14      -7.662258133893e-13       0.000000000000e+00       2.475449819318e-11       2.921514789799e-12      -1.013844133036e-14 
   71       2.538307577782e-10       4.577277896551e-14      -8.264576074343e-13       0.000000000000e+00       2.393563490587e-11       2.837810196776e-12      -1.000735596645e-14 
   72       2.571405230443e-10       4.757356457970e-14      -8.883802183496e-13       0.000000000000e+00       2.314876795871e-11       2.757392844693e-12      -9.850603378980e-15 
   73       2.604801468096e-10       4.940282159363e-14      -9.519630383179e-13       0.000000000000e+00       2.239328019319e-11       2.680209153002e-12      -9.670999163434e-15 
   74       2.638508301884e-10       5.125934261651e-14      -1.017163501372e-12       0.000000000000e+00       2.166922269604e-11       2.606247613562e-12      -9.474343012545e-15 
   75       2.672534190740e-10       5.314184555976e-14      -1.083935068389e-12       0.000000000000e+00       2.097614473221e-11       2.535441743980e-12      -9.267131724057e-15 
   76       2.706883816423e-10       5.504897246870e-14      -1.152227154626e-12       0.000000000000e+00       2.031306937678e-11       2.467667438244e-12      -9.056582615075e-15 
