# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381339436461e-10       4.175826681967e-15       3.515670883901e-13       2.323579756220e-19       8.285921649893e-09       4.560787707405e-10      -1.840536580500e-12 
    3       1.306087345062e-10       5.350738557391e-15       3.951459529926e-13       4.648037056412e-19       5.086942050524e-09       3.225637485393e-10      -1.393793149701e-12 
    4       1.235436856223e-10       4.626594817117e-15       3.695226915643e-13       7.748664038626e-19       3.522956584465e-09       2.438397023290e-10      -9.121457874277e-13 
    5       1.182604072869e-10       3.085420330166e-15       3.146793847168e-13       1.162659076939e-18       2.621495958211e-09       1.923915247626e-10      -5.066439002368e-13 
    6       1.146398230285e-10       1.725241160587e-15       2.534364306171e-13       1.628319615086e-18       2.042576426747e-09       1.563929026195e-10      -2.079556147827e-13 
    7       1.122825573323e-10       9.333110163099e-16       1.989897404692e-13       2.172008666732e-18       1.644350796806e-09       1.299927130165e-10      -1.757526366288e-14 
    8       1.109085516129e-10       6.037251128210e-16       1.571115294110e-13       2.793907203668e-18       1.356587947427e-09       1.099882747437e-10       7.944460377745e-14 
    9       1.102697585389e-10       4.858380976186e-16       1.290808153321e-13       3.494213834252e-18       1.140651178906e-09       9.448177872753e-11       1.064459640939e-13 
   10       1.101358869845e-10       4.149682693546e-16       1.135730733733e-13       4.273141927398e-18       9.737500348325e-10       8.220635885099e-11       8.927582991106e-14 
   11       1.104478834756e-10       3.497404282270e-16       1.079303248736e-13       5.130916613604e-18       8.334434244416e-10       7.301986098819e-11       5.202265422665e-14 
   12       1.110546605144e-10       3.058089424479e-16       1.090956110707e-13       6.067771730835e-18       7.284078010876e-10       6.456641730382e-11       1.226568601889e-14 
   13       1.119056810972e-10       2.941676877732e-16       1.143865837742e-13       7.083946782862e-18       6.421587937318e-10       5.770038595955e-11      -1.799997040447e-14 
   14       1.129532603962e-10       3.068442241618e-16       1.217828944900e-13       8.179683975503e-18       5.703838762559e-10       5.172017371136e-11      -3.451793221298e-14 
   15       1.141845875052e-10       3.321005667195e-16       1.299964416922e-13       9.355225392315e-18       5.099592878966e-10       4.668958281592e-11      -3.749775018017e-14 
   16       1.155248914755e-10       3.674166541776e-16       1.383647936618e-13       1.061081036577e-17       4.585736126694e-10       4.235361542063e-11      -3.090285225453e-14 
   17       1.170012363595e-10       4.183299403722e-16       1.466660597996e-13       1.194667309293e-17       4.144843692870e-10       3.856953612938e-11      -1.993081991583e-14 
   18       1.185505947232e-10       4.902662000208e-16       1.551615925216e-13       1.336304044269e-17       3.762142862661e-10       3.526890503366e-11      -9.467910432659e-15 
   19       1.201843073294e-10       5.835497255661e-16       1.640745582619e-13       1.486013064151e-17       3.431462152432e-10       3.240451136003e-11      -2.114109088503e-15 
   20       1.218950880163e-10       6.961795757705e-16       1.735445740706e-13       1.643815078281e-17       3.140200027241e-10       2.986202734317e-11       4.241083992522e-16 
   21       1.236842410795e-10       8.275211384987e-16       1.835225541993e-13       1.809729722198e-17       2.883778075494e-10       2.759546302566e-11      -1.288829722653e-15 
   22       1.255257559791e-10       9.770890656877e-16       1.938202445086e-13       1.983775301994e-17       2.656025514035e-10       2.554782257540e-11      -5.507908070200e-15 
   23       1.274259804205e-10       1.145052788855e-15       2.041145734237e-13       2.165968993273e-17       2.453895797331e-10       2.371051010638e-11      -1.047970195379e-14 
   24       1.293791319228e-10       1.331627375600e-15       2.139929939387e-13       2.356326541462e-17       2.272776303279e-10       2.206677262150e-11      -1.433716584263e-14 
   25       1.313800185563e-10       1.537028391115e-15       2.231478352003e-13       2.554862523167e-17       2.110211812266e-10       2.059438639833e-11      -1.626946514361e-14 
   26       1.334110092253e-10       1.761627044015e-15       2.313154984343e-13       2.761590141094e-17       1.963022413673e-10       1.925654926835e-11      -1.595140268661e-14 
   27       1.354817008073e-10       2.007054819933e-15       2.384244403703e-13       2.976521911330e-17       1.830445912326e-10       1.804400831927e-11      -1.389533506509e-14 
   28       1.375947687208e-10       2.275568546544e-15       2.444862509984e-13       3.199668983048e-17       1.710876589286e-10       1.694136007690e-11      -1.110501974379e-14 
   29       1.397392887356e-10       2.569449072985e-15       2.495434845819e-13       3.431041159083e-17       1.601412164313e-10       1.592222608376e-11      -8.700280185628e-15 
   30       1.419218596676e-10       2.889787967671e-15       2.536443978382e-13       3.670648124726e-17       1.501449618676e-10       1.498556056128e-11      -7.069816059512e-15 
   31       1.441441964598e-10       3.237210546098e-15       2.568627684211e-13       3.918498569311e-17       1.410247246417e-10       1.413143754240e-11      -6.393765285571e-15 
   32       1.463982494302e-10       3.612288313634e-15       2.592662261139e-13       4.174600124861e-17       1.326362526902e-10       1.335288251689e-11      -6.759509617129e-15 
   33       1.486834865065e-10       4.015958180421e-15       2.607741005310e-13       4.438960495042e-17       1.249338923885e-10       1.264333514376e-11      -7.814645987324e-15 
   34       1.509935357124e-10       4.449247477568e-15       2.612457864488e-13       4.711586669311e-17       1.178494734962e-10       1.199048724732e-11      -8.971475284597e-15 
   35       1.533171031550e-10       4.913147114793e-15       2.605318329870e-13       4.992484908468e-17       1.112776011083e-10       1.137853026079e-11      -9.639300930337e-15 
   36       1.556611578922e-10       5.408558507664e-15       2.585298162736e-13       5.281661825124e-17       1.052012454598e-10       1.080536957447e-11      -9.755642105118e-15 
   37       1.580343010166e-10       5.936322566924e-15       2.551460617868e-13       5.579123653703e-17       9.960138814969e-11       1.027055999217e-11      -9.435354986478e-15 
   38       1.604397931901e-10       6.497228781332e-15       2.502802055377e-13       5.884875959619e-17       9.441905162541e-11       9.770343616009e-12      -8.833730499586e-15 
   39       1.628766362094e-10       7.092003227334e-15       2.438494927624e-13       6.198923815213e-17       8.957657635546e-11       9.299437344074e-12      -8.125275494712e-15 
   40       1.653448457386e-10       7.721277158407e-15       2.358728616326e-13       6.521272408562e-17       8.505914740914e-11       8.857895687093e-12      -7.424107166810e-15 
   41       1.678408859444e-10       8.385601180535e-15       2.264146911760e-13       6.851926636180e-17       8.085489516669e-11       8.446060083705e-12      -6.841401072206e-15 
   42       1.703555787043e-10       9.085447961429e-15       2.155638477978e-13       7.190890951304e-17       7.693056881784e-11       8.062504813639e-12      -6.508366112707e-15 
   43       1.728785659787e-10       9.821273591200e-15       2.034001086544e-13       7.538169264719e-17       7.324383703951e-11       7.704737960524e-12      -6.535719135299e-15 
   44       1.754145992863e-10       1.059373529582e-14       1.898776117547e-13       7.893764586246e-17       6.978902983960e-11       7.371935743058e-12      -6.874320431723e-15 
   45       1.779714472948e-10       1.140353394570e-14       1.749074197297e-13       8.257679288564e-17       6.656263054373e-11       7.062797305816e-12      -7.412996650769e-15 
   46       1.805551505516e-10       1.225135369256e-14       1.583885396002e-13       8.629915209938e-17       6.354954183964e-11       6.774662663117e-12      -8.014963663529e-15 
   47       1.831698141540e-10       1.313786159719e-14       1.402071065418e-13       9.010473657431e-17       6.072218285732e-11       6.503410825680e-12      -8.516325870178e-15 
   48       1.858175924890e-10       1.406361930496e-14       1.202590065745e-13       9.399355133883e-17       5.804898075978e-11       6.244649886723e-12      -8.770879966566e-15 
   49       1.884991221386e-10       1.502878949927e-14       9.852719007149e-14       9.796558420320e-17       5.552478285898e-11       5.997921680137e-12      -8.802962450368e-15 
   50       1.912128547888e-10       1.603334606143e-14       7.502474959968e-14       1.020208124041e-16       5.314746598521e-11       5.763507334114e-12      -8.695109595926e-15 
   51       1.939546831439e-10       1.707715005845e-14       4.977375407549e-14       1.061592050353e-16       5.090887727852e-11       5.541203722110e-12      -8.546355355024e-15 
   52       1.967177433958e-10       1.815994488347e-14       2.280562839411e-14       1.103807229387e-16       4.879441058051e-11       5.330287505795e-12      -8.473093136107e-15 
   53       1.994950834831e-10       1.928147487406e-14      -5.852333262478e-15       1.146853182138e-16       4.678759333615e-11       5.129826900331e-12      -8.579244221248e-15 
   54       2.022889280742e-10       2.044188816247e-14      -3.622237281855e-14       1.190729328477e-16       4.488620712210e-11       4.939793857083e-12      -8.855773537913e-15 
   55       2.051034517405e-10       2.164142894592e-14      -6.834187694487e-14       1.235434995436e-16       4.308957410859e-11       4.760175202744e-12      -9.256837043718e-15 
   56       2.079420460725e-10       2.288032338668e-14      -1.022507299507e-13       1.280969419492e-16       4.139370067312e-11       4.590629053721e-12      -9.727797800991e-15 
   57       2.108072423085e-10       2.415877992984e-14      -1.379915155518e-13       1.327331745327e-16       3.979106387651e-11       4.430463438630e-12      -1.020480082256e-14 
   58       2.137006339624e-10       2.547698962093e-14      -1.756097186386e-13       1.374521024572e-16       3.827039793909e-11       4.278614920803e-12      -1.061434791755e-14 
   59       2.166231917404e-10       2.683500849667e-14      -2.151409798513e-13       1.422536277244e-16       3.681979525776e-11       4.133936585129e-12      -1.089083510372e-14 
   60       2.195764694193e-10       2.823237214122e-14      -2.565689446675e-13       1.471376695523e-16       3.543733536362e-11       3.996188649017e-12      -1.103488635731e-14 
   61       2.225615417626e-10       2.966839202085e-14      -2.998579648174e-13       1.521041485173e-16       3.412255133845e-11       3.865240527948e-12      -1.106783937236e-14 
   62       2.255785740898e-10       3.114226193595e-14      -3.449649525261e-13       1.571529807887e-16       3.287323320393e-11       3.740771030063e-12      -1.101515409661e-14 
   63       2.286267582014e-10       3.265305434124e-14      -3.918391433931e-13       1.622840782164e-16       3.168532675512e-11       3.622257465586e-12      -1.090659647786e-14 
   64       2.317042483058e-10       3.419971666595e-14      -4.404218592726e-13       1.674973484184e-16       3.055283239385e-11       3.508964756257e-12      -1.077642221036e-14 
   65       2.348090752010e-10       3.578118597709e-14      -4.906590910892e-13       1.727927080025e-16       2.946946056459e-11       3.400147570280e-12      -1.065583429387e-14 
   66       2.379422577699e-10       3.739676945937e-14      -5.425428771999e-13       1.781701252876e-16       2.843423278959e-11       3.295730945388e-12      -1.054808638759e-14 
   67       2.411052378548e-10       3.904583817447e-14      -5.960782902722e-13       1.836295868136e-16       2.744688949640e-11       3.195754767965e-12      -1.044841966183e-14 
   68       2.442989241239e-10       4.072771546550e-14      -6.512715098173e-13       1.891710854523e-16       2.650618702647e-11       3.100168627036e-12      -1.035129196267e-14 
   69       2.475236553605e-10       4.244167658751e-14      -7.081299436702e-13       1.947946208627e-16       2.560984560431e-11       3.008826882443e-12      -1.025034544112e-14 
   70       2.507791637534e-10       4.418694833799e-14      -7.666623494697e-13       2.005001999460e-16       2.475449730667e-11       2.921483733036e-12      -1.013837418242e-14 
   71       2.540645381865e-10       4.596270868732e-14      -8.268789561374e-13       2.062878373004e-16       2.393563403171e-11       2.837788284846e-12      -1.000729183523e-14 
   72       2.573788091230e-10       4.776805169704e-14      -8.887831004904e-13       2.121575664723e-16       2.314876709660e-11       2.757379602662e-12      -9.850542626101e-15 
   73       2.607229148109e-10       4.960187529991e-14      -9.523440085919e-13       2.181094751967e-16       2.239327934284e-11       2.680203946889e-12      -9.670942118715e-15 
   74       2.640980479065e-10       5.146297121115e-14      -1.017518984989e-12       2.241436777746e-16       2.166922185713e-11       2.606249801238e-12      -9.474289996212e-15 
   75       2.675050451855e-10       5.335005658981e-14      -1.084261363649e-12       2.302603055668e-16       2.097614390441e-11       2.535450680742e-12      -9.267083044613e-15 
   76       2.709443650243e-10       5.526177287673e-14      -1.152520435715e-12       2.364595076953e-16       2.031306855979e-11       2.467682482667e-12      -9.056538567104e-15 
   77       2.744160648815e-10       5.719668463250e-14      -1.222241377273e-12       2.427414517448e-16       1.967846834045e-11       2.402760837419e-12      -8.850617798315e-15 
   78       2.779197787795e-10       5.915327837542e-14      -1.293365177111e-12       2.491063244640e-16       1.907024083759e-11       2.340438459455e-12      -8.658049318600e-15 
   79       2.814546947859e-10       6.112996141945e-14      -1.365828564480e-12       2.555543324677e-16       1.848568434831e-11       2.280402498190e-12      -8.488352468318e-15 
   80       2.850199984471e-10       6.312511310588e-14      -1.439569360697e-12       2.620856976996e-16       1.792216892639e-11       2.222352037589e-12      -8.349594168931e-15 
   81       2.886163413151e-10       6.513725130094e-14      -1.514543763212e-12       2.687006413718e-16       1.737933735435e-11       2.166251922860e-12      -8.241159239117e-15 
   82       2.922445875399e-10       6.716489282725e-14      -1.590711945372e-12       2.753993985036e-16       1.685724371074e-11       2.112118385263e-12      -8.159761392696e-15 
   83       2.959053568942e-10       6.920650344949e-14      -1.668032926963e-12       2.821822235077e-16       1.635568058837e-11       2.059941661784e-12      -8.101580041172e-15 
   84       2.995990108838e-10       7.126049768262e-14      -1.746464602403e-12       2.890493907947e-16       1.587416760436e-11       2.009684830289e-12      -8.062241734071e-15 
   85       3.033256388574e-10       7.332523860015e-14      -1.825963768949e-12       2.960011953770e-16       1.541193991020e-11       1.961282644661e-12      -8.036801599268e-15 
   86       3.070850441174e-10       7.539903764228e-14      -1.906486154900e-12       3.030379534743e-16       1.496793670180e-11       1.914640369944e-12      -8.019724783322e-15 
   87       3.108767300296e-10       7.748015442417e-14      -1.987986447797e-12       3.101600031173e-16       1.454078972951e-11       1.869632617488e-12      -8.004867891805e-15 
   88       3.146998861340e-10       7.956679654415e-14      -2.070418322632e-12       3.173677047528e-16       1.412881180821e-11       1.826102180095e-12      -7.985460429638e-15 
   89       3.185536988690e-10       8.165714449409e-14      -2.153733010919e-12       3.246614302971e-16       1.373039863683e-11       1.783898829603e-12      -7.955557894155e-15 
   90       3.224383698832e-10       8.374943128694e-14      -2.237874689215e-12       3.320415270123e-16       1.334533153988e-11       1.743005223635e-12      -7.914702740446e-15 
   91       3.263542326158e-10       8.584187502494e-14      -2.322784415806e-12       3.395083490510e-16       1.297365886518e-11       1.703428695266e-12      -7.863963776593e-15 
   92       3.303014330028e-10       8.793265509108e-14      -2.408401531692e-12       3.470622689280e-16       1.261529564243e-11       1.665162490538e-12      -7.804533037830e-15 
   93       3.342799204496e-10       9.001991233343e-14      -2.494663666925e-12       3.547036779515e-16       1.227001828515e-11       1.628185202292e-12      -7.737729274105e-15 
   94       3.382894388050e-10       9.210174924934e-14      -2.581506746956e-12       3.624329866553e-16       1.193745929262e-11       1.592460204001e-12      -7.665001437649e-15 
   95       3.423295173339e-10       9.417623016982e-14      -2.668864998980e-12       3.702506252295e-16       1.161710195185e-11       1.557935083600e-12      -7.587932170530e-15 
   96       3.463994616913e-10       9.624138144371e-14      -2.756670958275e-12       3.781570439524e-16       1.130827503949e-11       1.524541077318e-12      -7.508241292227e-15 
