# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381341744159e-10       4.175826749290e-15       3.515670807507e-13       2.323354771123e-19       8.285959804398e-09       4.560819975356e-10      -1.840536643755e-12 
    3       1.306090252994e-10       5.350738778689e-15       3.951459402736e-13       4.647613669032e-19       5.086968935991e-09       3.225668432948e-10      -1.393793195257e-12 
    4       1.235440073221e-10       4.626594925651e-15       3.695226975573e-13       7.748015801909e-19       3.522976272209e-09       2.438425220941e-10      -9.121458049687e-13 
    5       1.182607336220e-10       3.085420338596e-15       3.146794043826e-13       1.162572213126e-18       2.621510705256e-09       1.923939881784e-10      -5.066439183589e-13 
    6       1.146401461139e-10       1.725241205324e-15       2.534364585586e-13       1.628214646143e-18       2.042587634850e-09       1.563949562477e-10      -2.079556354841e-13 
    7       1.122828568754e-10       9.333110600198e-16       1.989897780473e-13       2.171893198874e-18       1.644359382314e-09       1.299943102434e-10      -1.757527189911e-14 
    8       1.109087582111e-10       6.037250771401e-16       1.571115549080e-13       2.793792457960e-18       1.356594591863e-09       1.099894069345e-10       7.944461046312e-14 
    9       1.102698334964e-10       4.858379739103e-16       1.290808074966e-13       3.494114347560e-18       1.140656432434e-09       9.448253009162e-11       1.064459773267e-13 
   10       1.101359009516e-10       4.149681089134e-16       1.135730476329e-13       4.273075018041e-18       9.737543390969e-10       8.220687142231e-11       8.927584084708e-14 
   11       1.104479136867e-10       3.497403119317e-16       1.079303123191e-13       5.130901631633e-18       8.334466130289e-10       7.302020730111e-11       5.202265786792e-14 
   12       1.110546973652e-10       3.058089348341e-16       1.090956233900e-13       6.067829124682e-18       7.284105762834e-10       6.456669425424e-11       1.226568018770e-14 
   13       1.119057016927e-10       2.941677996015e-16       1.143866183221e-13       7.084097024564e-18       6.421613118774e-10       5.770063852978e-11      -1.799997187749e-14 
   14       1.129532958136e-10       3.068444139100e-16       1.217829353794e-13       8.179946395323e-18       5.703862138818e-10       5.172041754604e-11      -3.451792457766e-14 
   15       1.141846458885e-10       3.321007908661e-16       1.299964649941e-13       9.355616979925e-18       5.099614571185e-10       4.668982640414e-11      -3.749774827479e-14 
   16       1.155249381868e-10       3.674168919532e-16       1.383647969074e-13       1.061134459887e-17       4.585756427507e-10       4.235384204069e-11      -3.090285128272e-14 
   17       1.170012592356e-10       4.183301818627e-16       1.466660534259e-13       1.194735885501e-17       4.144862527727e-10       3.856975146716e-11      -1.993081166039e-14 
   18       1.185506203446e-10       4.902664388853e-16       1.551615830861e-13       1.336388105706e-17       3.762160470638e-10       3.526911975771e-11      -9.467898972898e-15 
   19       1.201843452217e-10       5.835499442964e-16       1.640745485625e-13       1.486112327223e-17       3.431478780208e-10       3.240472516229e-11      -2.114101898267e-15 
   20       1.218951143319e-10       6.961797419012e-16       1.735445641954e-13       1.643928573405e-17       3.140215704096e-10       2.986222829455e-11       4.241053355532e-16 
   21       1.236842463527e-10       8.275212223039e-16       1.835225457306e-13       1.809855797851e-17       2.883792841588e-10       2.759564989195e-11      -1.288842283727e-15 
   22       1.255257598272e-10       9.770890447124e-16       1.938202410864e-13       1.983911614875e-17       2.656039477523e-10       2.554801032933e-11      -5.507921829502e-15 
   23       1.274259994149e-10       1.145052630529e-15       2.041145746880e-13       2.166112576471e-17       2.453909044060e-10       2.371070582294e-11      -1.047971285062e-14 
   24       1.293791686834e-10       1.331627034127e-15       2.139929942484e-13       2.356473856885e-17       2.272788862392e-10       2.206696892366e-11      -1.433717767177e-14 
   25       1.313800712574e-10       1.537027828293e-15       2.231478313364e-13       2.555009585418e-17       2.110223717071e-10       2.059458036608e-11      -1.626948190299e-14 
   26       1.334110743244e-10       1.761626237081e-15       2.313154919293e-13       2.761732631848e-17       1.963033715896e-10       1.925674751640e-11      -1.595142568535e-14 
   27       1.354817730995e-10       2.007053755060e-15       2.384244333044e-13       2.976655366285e-17       1.830456670988e-10       1.804421570793e-11      -1.389536248725e-14 
   28       1.375948412063e-10       2.275567218239e-15       2.444862444932e-13       3.199788951936e-17       1.710886861365e-10       1.694157493840e-11      -1.110504584270e-14 
   29       1.397393535165e-10       2.569447486310e-15       2.495434789343e-13       3.431143366022e-17       1.601421996559e-10       1.592244055793e-11      -8.700296074236e-15 
   30       1.419219127930e-10       2.889786141445e-15       2.536443944596e-13       3.670728652607e-17       1.501459042007e-10       1.498576947279e-11      -7.069816811992e-15 
   31       1.441442405635e-10       3.237208515775e-15       2.568627707175e-13       3.918554057180e-17       1.410256267086e-10       1.413164223713e-11      -6.393753404164e-15 
   32       1.463982933486e-10       3.612286132440e-15       2.592662387553e-13       4.174627949964e-17       1.326371126118e-10       1.335309046508e-11      -6.759494627114e-15 
   33       1.486835373571e-10       4.015955914621e-15       2.607741245727e-13       4.438958864191e-17       1.249347092739e-10       1.264355183543e-11      -7.814635544393e-15 
   34       1.509935956693e-10       4.449245205497e-15       2.612458169668e-13       4.711554791397e-17       1.178502486828e-10       1.199071289025e-11      -8.971471573929e-15 
   35       1.533171695610e-10       4.913144926264e-15       2.605318595756e-13       4.992423121433e-17       1.112783380146e-10       1.137875984954e-11      -9.639300673951e-15 
   36       1.556612284832e-10       5.408556499465e-15       2.585298300488e-13       5.281571437951e-17       1.052019477614e-10       1.080559804271e-11      -9.755641802071e-15 
   37       1.580343757846e-10       5.936320840730e-15       2.551460581666e-13       5.579006988497e-17       9.960205902919e-11       1.027078401916e-11      -9.435352699427e-15 
   38       1.604398749414e-10       6.497227442488e-15       2.502801854020e-13       5.884736476104e-17       9.441969342892e-11       9.770562132012e-12      -8.833726294881e-15 
   39       1.628767301293e-10       7.092002379251e-15       2.438494621141e-13       6.198766111204e-17       8.957719049059e-11       9.299651494651e-12      -8.125271362637e-15 
   40       1.653449554788e-10       7.721276882292e-15       2.358728259524e-13       6.521101784228e-17       8.505973513764e-11       8.858106865752e-12      -7.424105093625e-15 
   41       1.678410120654e-10       8.385601524579e-15       2.264146534087e-13       6.851748954880e-17       8.085545775824e-11       8.446269297021e-12      -6.841402382079e-15 
   42       1.703557180066e-10       9.085448933382e-15       2.155638077227e-13       7.190712612668e-17       7.693110745066e-11       8.062712557825e-12      -6.508371295244e-15 
   43       1.728787117875e-10       9.821275159729e-15       2.034000630611e-13       7.537997067644e-17       7.324435277838e-11       7.704944221469e-12      -6.535727860877e-15 
   44       1.754147450501e-10       1.059373742253e-14       1.898775574333e-13       7.893605231265e-17       6.978952389554e-11       7.372140432950e-12      -6.874332226524e-15 
   45       1.779715878345e-10       1.140353659531e-14       1.749073544569e-13       8.257539120801e-17       6.656310432495e-11       7.063000384946e-12      -7.413011099114e-15 
   46       1.805552824266e-10       1.225135683477e-14       1.583884623674e-13       8.629800047003e-17       6.354999692068e-11       6.774864141385e-12      -8.014980430645e-15 
   47       1.831699360498e-10       1.313786520870e-14       1.402070177982e-13       9.010388606142e-17       6.072262094485e-11       6.503610763939e-12      -8.516344726468e-15 
   48       1.858177050532e-10       1.406362336204e-14       1.202589082841e-13       9.399304407745e-17       5.804940360611e-11       6.244848337644e-12      -8.770900774596e-15 
   49       1.884992259268e-10       1.502879393831e-14       9.852708512520e-14       9.796545185617e-17       5.552519200935e-11       5.998118427867e-12      -8.802985024089e-15 
   50       1.912129496054e-10       1.603335076272e-14       7.502464171357e-14       1.020210742255e-16       5.314786263865e-11       5.763701778145e-12      -8.695133654217e-15 
   51       1.939547679039e-10       1.707715483842e-14       4.977364787467e-14       1.061598657185e-16       5.090926218777e-11       5.541394813352e-12      -8.546380510395e-15 
   52       1.967178159785e-10       1.815994948659e-14       2.280552949966e-14       1.103817703586e-16       4.879478394618e-11       5.330473679409e-12      -8.473118882928e-15 
   53       1.994951409000e-10       1.928147898410e-14      -5.852418552502e-15       1.146867232365e-16       4.678795484403e-11       5.130006173996e-12      -8.579269937671e-15 
   54       2.022889676862e-10       2.044189147868e-14      -3.622243919624e-14       1.190746562099e-16       4.488655646725e-11       4.939964482981e-12      -8.855798534139e-15 
   55       2.051034716833e-10       2.164143121041e-14      -6.834192075241e-14       1.235454932958e-16       4.308991114766e-11       4.760335902564e-12      -9.256860575004e-15 
   56       2.079420453909e-10       2.288032439392e-14      -1.022507494750e-13       1.280991488710e-16       4.139402543880e-11       4.590779101196e-12      -9.727819067618e-15 
   57       2.108072210968e-10       2.415877953660e-14      -1.379915113329e-13       1.327355275333e-16       3.979137659247e-11       4.430602745916e-12      -1.020481896992e-14 
   58       2.137005935111e-10       2.547698775678e-14      -1.756096937920e-13       1.374545239618e-16       3.827069903523e-11       4.278744128681e-12      -1.061436203636e-14 
   59       2.166231345069e-10       2.683500516813e-14      -2.151409397986e-13       1.422560316516e-16       3.682008534008e-11       4.134057000895e-12      -1.089084429300e-14 
