# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381341744263e-10       4.175826749386e-15       3.515670808133e-13       2.323354932853e-19       8.285959802800e-09       4.560819980235e-10      -1.840536642999e-12 
    3       1.306090253187e-10       5.350738778770e-15       3.951459403102e-13       4.647613990943e-19       5.086968934732e-09       3.225668452700e-10      -1.393793194887e-12 
    4       1.235440073602e-10       4.626594925653e-15       3.695226974666e-13       7.748016335081e-19       3.522976271170e-09       2.438425214274e-10      -9.121458060792e-13 
    5       1.182607334215e-10       3.085420338600e-15       3.146794043861e-13       1.162572292497e-18       2.621510704265e-09       1.923939856955e-10      -5.066439190251e-13 
    6       1.146401462577e-10       1.725241205423e-15       2.534364588934e-13       1.628214756292e-18       2.042587633656e-09       1.563949570095e-10      -2.079556335525e-13 
    7       1.122828568148e-10       9.333110601628e-16       1.989897786533e-13       2.171893344311e-18       1.644359380922e-09       1.299943129244e-10      -1.757526865686e-14 
    8       1.109087583138e-10       6.037250771993e-16       1.571115553942e-13       2.793792642982e-18       1.356594590480e-09       1.099894058597e-10       7.944461136703e-14 
    9       1.102698329112e-10       4.858379738383e-16       1.290808074523e-13       3.494114576272e-18       1.140656431149e-09       9.448252654781e-11       1.064459745743e-13 
   10       1.101359014128e-10       4.149681087031e-16       1.135730475868e-13       4.273075294385e-18       9.737543380871e-10       8.220687206614e-11       8.927583761461e-14 
   11       1.104479134087e-10       3.497403119949e-16       1.079303125945e-13       5.130901959428e-18       8.334466126424e-10       7.302021081719e-11       5.202265864823e-14 
   12       1.110546978398e-10       3.058089347152e-16       1.090956245342e-13       6.067829507684e-18       7.284105759619e-10       6.456669345161e-11       1.226568596985e-14 
   13       1.119057004188e-10       2.941677982692e-16       1.143866191366e-13       7.084097466525e-18       6.421613115738e-10       5.770063430503e-11      -1.799996474634e-14 
   14       1.129532967968e-10       3.068444137830e-16       1.217829344977e-13       8.179946900057e-18       5.703862135870e-10       5.172041767991e-11      -3.451792106109e-14 
