# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.652484735783e-10       7.656528209812e-15       2.360650506574e-13       0.000000000000e+00       8.505973462791e-11       8.858101698576e-12      -7.424105060567e-15 
   41       1.677404714326e-10       8.317638683657e-15       2.266209463484e-13       0.000000000000e+00       8.085545726528e-11       8.446264214442e-12      -6.841401893417e-15 
   42       1.702510738280e-10       9.014201085188e-15       2.157845394918e-13       0.000000000000e+00       7.693110697295e-11       8.062707406852e-12      -6.508370440799e-15 
   43       1.727699224283e-10       9.746672428834e-15       2.036355578911e-13       0.000000000000e+00       7.324435231458e-11       7.704938914780e-12      -6.535726941104e-15 
   44       1.753017717104e-10       1.051571100652e-14       1.901280872775e-13       0.000000000000e+00       6.978952344438e-11       7.372134931676e-12      -6.874331518290e-15 
   45       1.778543944789e-10       1.132201884027e-14       1.751731330689e-13       0.000000000000e+00       6.656310388523e-11       7.062994700674e-12      -7.413010774430e-15 
   46       1.804338358184e-10       1.216628129857e-14       1.586696392492e-13       0.000000000000e+00       6.354999649134e-11       6.774858345833e-12      -8.014980532949e-15 
   47       1.830442057879e-10       1.304916672553e-14       1.405036719399e-13       0.000000000000e+00       6.072262052503e-11       6.503604999168e-12      -8.516345145524e-15 
   48       1.856876632453e-10       1.397123813948e-14       1.205710421963e-13       0.000000000000e+00       5.804940319522e-11       6.244842814988e-12      -8.770901263896e-15 
   49       1.883648456454e-10       1.493265975991e-14       9.885462033222e-14       0.000000000000e+00       5.552519160692e-11       5.998113387993e-12      -8.802985363158e-15 
   50       1.910742042213e-10       1.593340711700e-14       7.536741284054e-14       0.000000000000e+00       5.314786224439e-11       5.763697479952e-12      -8.695133704490e-15 
   51       1.938116307396e-10       1.697334302200e-14       5.013139609281e-14       0.000000000000e+00       5.090926180160e-11       5.541391533675e-12      -8.546380231608e-15 
   52       1.965702599455e-10       1.805221271015e-14       2.317789578932e-14       0.000000000000e+00       4.879478356826e-11       5.330471712657e-12      -8.473118350372e-15 
   53       1.993431385644e-10       1.916976248591e-14      -5.465898832436e-15       0.000000000000e+00       4.678795447476e-11       5.130005803419e-12      -8.579269328735e-15 
   54       2.021324927886e-10       2.032614265605e-14      -3.582233700577e-14       0.000000000000e+00       4.488655610695e-11       4.939965858384e-12      -8.855798011490e-15 
   55       2.049424995492e-10       2.152159974282e-14      -6.792891790143e-14       0.000000000000e+00       4.308991079645e-11       4.760338987406e-12      -9.256860248046e-15 
   56       2.077765529316e-10       2.275636236490e-14      -1.018256446534e-13       0.000000000000e+00       4.139402509659e-11       4.590783644673e-12      -9.727818982735e-15 
   57       2.106371868119e-10       2.403064155871e-14      -1.375552262606e-13       0.000000000000e+00       3.979137625893e-11       4.430608253790e-12      -1.020481910026e-14 
   58       2.135259974933e-10       2.534463109963e-14      -1.751632794886e-13       0.000000000000e+00       3.827069870978e-11       4.278749832860e-12      -1.061436227112e-14 
   59       2.164439585713e-10       2.669838981605e-14      -2.146855803586e-13       0.000000000000e+00       3.682008502193e-11       4.134061923352e-12      -1.089084445169e-14 
   60       2.193926266228e-10       2.809145588702e-14      -2.561059028349e-13       0.000000000000e+00       3.543761472306e-11       3.996305005524e-12      -1.103488992192e-14 
   61       2.223730792825e-10       2.952314338165e-14      -2.993887284572e-13       0.000000000000e+00       3.412282082742e-11       3.865348718585e-12      -1.106783682312e-14 
   62       2.253854848740e-10       3.099264878674e-14      -3.444911036140e-13       0.000000000000e+00       3.287349326662e-11       3.740872112373e-12      -1.101514561427e-14 
   63       2.284290383421e-10       3.249904732783e-14      -3.913624024469e-13       0.000000000000e+00       3.168557772191e-11       3.622352757309e-12      -1.090658282097e-14 
   64       2.315018971853e-10       3.404128929017e-14      -4.399440897557e-13       0.000000000000e+00       3.055307445649e-11       3.509055854355e-12      -1.077640478448e-14 
   65       2.346020956633e-10       3.561831450645e-14      -4.901823015736e-13       0.000000000000e+00       2.946969378875e-11       3.400236267565e-12      -1.065581505307e-14 
   66       2.377306563611e-10       3.722943226500e-14      -5.420692162039e-13       0.000000000000e+00       2.843445725159e-11       3.295818813563e-12      -1.054806718560e-14 
   67       2.408890250207e-10       3.887401552073e-14      -5.956100469115e-13       0.000000000000e+00       2.744710532008e-11       3.195843004346e-12      -1.044840204130e-14 
   68       2.440781143961e-10       4.055138946134e-14      -6.508111165456e-13       0.000000000000e+00       2.650639438373e-11       3.100257995651e-12      -1.035127710245e-14 
   69       2.472982675504e-10       4.226083113364e-14      -7.076799789806e-13       0.000000000000e+00       2.561004471553e-11       3.008917652794e-12      -1.025033410142e-14 
   70       2.505492211518e-10       4.400156906997e-14      -7.662255405572e-13       0.000000000000e+00       2.475468844109e-11       2.921575616498e-12      -1.013836664781e-14 
   71       2.538300687712e-10       4.577278291450e-14      -8.264581815233e-13       0.000000000000e+00       2.393581750773e-11       2.837880368727e-12      -1.000728785553e-14 
   72       2.571398457818e-10       4.757356827379e-14      -8.883813917730e-13       0.000000000000e+00       2.314894327551e-11       2.757470433148e-12      -9.850541470684e-15 
   73       2.604794955991e-10       4.940282428768e-14      -9.519645494726e-13       0.000000000000e+00       2.239344860167e-11       2.680292096981e-12      -9.670943001205e-15 
   74       2.638502162898e-10       5.125934370191e-14      -1.017165112428e-12       0.000000000000e+00       2.166938457819e-11       2.606334042977e-12      -9.474292196371e-15 
   75       2.672528502804e-10       5.314184458407e-14      -1.083936569750e-12       0.000000000000e+00       2.097630047081e-11       2.535530015529e-12      -9.267085921445e-15 
   76       2.706878618462e-10       5.504896915599e-14      -1.152228369556e-12       0.000000000000e+00       2.031321935061e-11       2.467756172684e-12      -9.056541572471e-15 
   77       2.741553146002e-10       5.697928262614e-14      -1.221985846674e-12       0.000000000000e+00       1.967861372581e-11       2.402828438154e-12      -8.850620491053e-15 
   78       2.776548489811e-10       5.893127202199e-14      -1.293150150347e-12       0.000000000000e+00       1.907038117340e-11       2.340499853329e-12      -8.658051379149e-15 
   79       2.811856597423e-10       6.090334502245e-14      -1.365658171936e-12       0.000000000000e+00       1.848581997085e-11       2.280457929288e-12      -8.488353713849e-15 
   80       2.847469385604e-10       6.289388127759e-14      -1.439447895239e-12       0.000000000000e+00       1.792230014980e-11       2.222402073058e-12      -8.349594546975e-15 
   81       2.883393399071e-10       6.490139920071e-14      -1.514475676566e-12       0.000000000000e+00       1.737946447807e-11       2.166297177218e-12      -8.241158751226e-15 
   82       2.919637298467e-10       6.692441614656e-14      -1.590701847701e-12       0.000000000000e+00       1.685736701833e-11       2.112159442440e-12      -8.159760076789e-15 
   83       2.956207298428e-10       6.896139830404e-14      -1.668085587514e-12       0.000000000000e+00       1.635580034314e-11       2.059979067680e-12      -8.101577974912e-15 
   84       2.993107028610e-10       7.101076050067e-14      -1.746584950085e-12       0.000000000000e+00       1.587428404487e-11       2.009719085046e-12      -8.062239038344e-15 
   85       3.030337394704e-10       7.307086600687e-14      -1.826156892827e-12       0.000000000000e+00       1.541205324556e-11       1.961314194667e-12      -8.036798441761e-15 
   86       3.067896439457e-10       7.514002634043e-14      -1.906757304607e-12       0.000000000000e+00       1.496804710682e-11       1.914669599557e-12      -8.019721382201e-15 
   87       3.105779203690e-10       7.721650107083e-14      -1.988341033867e-12       0.000000000000e+00       1.454089733967e-11       1.869659840490e-12      -8.004864519489e-15 
   88       3.143977587321e-10       7.929849762364e-14      -2.070861916751e-12       0.000000000000e+00       1.412891671447e-11       1.826127630863e-12      -7.985457416675e-15 
   89       3.182483465308e-10       8.138419613739e-14      -2.154271341862e-12       0.000000000000e+00       1.373050089018e-11       1.783922669637e-12      -7.955555614424e-15 
   90       3.221298898616e-10       8.347182892930e-14      -2.238513625238e-12       0.000000000000e+00       1.334543118699e-11       1.743027597486e-12      -7.914701536766e-15 
   91       3.260427276411e-10       8.555961319269e-14      -2.323529958298e-12       0.000000000000e+00       1.297375595755e-11       1.703449744339e-12      -7.863963936713e-15 
   92       3.299870114767e-10       8.764572723141e-14      -2.409259812729e-12       0.000000000000e+00       1.261539023607e-11       1.665182351922e-12      -7.804534788184e-15 
   93       3.339626966452e-10       8.972831063951e-14      -2.495640946689e-12       0.000000000000e+00       1.227011044020e-11       1.628204007545e-12      -7.737732773385e-15 
   94       3.379695330702e-10       9.180546448095e-14      -2.582609410998e-12       0.000000000000e+00       1.193754907302e-11       1.592478077896e-12      -7.665006770192e-15 
   95       3.420070563014e-10       9.387525146929e-14      -2.670099555348e-12       0.000000000000e+00       1.161718942494e-11       1.557952142829e-12      -7.587939339530e-15 
   96       3.460745784920e-10       9.593569614742e-14      -2.758044034491e-12       0.000000000000e+00       1.130836027563e-11       1.524557429160e-12      -7.508250212760e-15 
   97       3.501711793774e-10       9.798478506719e-14      -2.846373814448e-12       0.000000000000e+00       1.101023059596e-11       1.492208244448e-12      -7.427799779055e-15 
   98       3.542956972534e-10       1.000204669692e-13      -2.935018178702e-12       0.000000000000e+00       1.072180424993e-11       1.460801410796e-12      -7.348592572785e-15 
   99       3.584470185371e-10       1.020406995243e-13      -3.023906110543e-12       0.000000000000e+00       1.044214830633e-11       1.430240885812e-12      -7.272375341986e-15 
  100       3.626250127501e-10       1.040435967242e-13      -3.112970650095e-12       0.000000000000e+00       1.017112632488e-11       1.400516828584e-12      -7.199358756763e-15 
  101       3.668297138242e-10       1.060273027986e-13      -3.202145168813e-12       0.000000000000e+00       9.908759574707e-12       1.371636732974e-12      -7.129320278091e-15 
  102       3.710610279988e-10       1.079899482500e-13      -3.291362070986e-12       0.000000000000e+00       9.655000255420e-12       1.343600981931e-12      -7.061992015088e-15 
  103       3.753187284183e-10       1.099296505984e-13      -3.380552816617e-12       0.000000000000e+00       9.409729030630e-12       1.316402586575e-12      -6.997059298228e-15 
  104       3.796024497299e-10       1.118445151250e-13      -3.469647944302e-12       0.000000000000e+00       9.172752561538e-12       1.290026925292e-12      -6.934159252553e-15 
  105       3.839116826807e-10       1.137326356161e-13      -3.558577094111e-12       0.000000000000e+00       8.943801040498e-12       1.264451482823e-12      -6.872879370887e-15 
  106       3.882457687152e-10       1.155920951078e-13      -3.647269030467e-12       0.000000000000e+00       8.722525724576e-12       1.239645589351e-12      -6.812756087050e-15 
  107       3.926038945728e-10       1.174209666294e-13      -3.735651665028e-12       0.000000000000e+00       8.508496469117e-12       1.215570159594e-12      -6.753273349069e-15 
  108       3.969850868852e-10       1.192173139481e-13      -3.823652079562e-12       0.000000000000e+00       8.301199261309e-12       1.192177431893e-12      -6.693861192394e-15 
  109       4.013882067739e-10       1.209791923126e-13      -3.911196548832e-12       0.000000000000e+00       8.100033753750e-12       1.169410707300e-12      -6.633894313107e-15 
  110       4.058121416358e-10       1.227046974999e-13      -3.998211077149e-12       0.000000000000e+00       7.904448610760e-12       1.147217461484e-12      -6.572819195685e-15 
  111       4.102564199878e-10       1.243921184921e-13      -4.084623037001e-12       0.000000000000e+00       7.714372525701e-12       1.125591147383e-12      -6.510557048688e-15 
  112       4.147206655646e-10       1.260398058224e-13      -4.170359783925e-12       0.000000000000e+00       7.529834005381e-12       1.104534278999e-12      -6.447150005860e-15 
  113       4.192044037394e-10       1.276461262241e-13      -4.255348189189e-12       0.000000000000e+00       7.350827388942e-12       1.084045408811e-12      -6.382637019768e-15 
  114       4.237070580592e-10       1.292094638492e-13      -4.339514667718e-12       0.000000000000e+00       7.177311735851e-12       1.064118998296e-12      -6.317053698454e-15 
  115       4.282279467803e-10       1.307282214875e-13      -4.422785206023e-12       0.000000000000e+00       7.009209713886e-12       1.044745288448e-12      -6.250432142085e-15 
  116       4.327662794037e-10       1.322008217850e-13      -4.505085390130e-12       0.000000000000e+00       6.846406487128e-12       1.025910170291e-12      -6.182800779594e-15 
