# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 9500, i.e. number of multipoles equal to 9499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.608132974518e-10       7.684594664932e-15       1.934257910345e-13       6.164701489388e-17       7.123965634888e-11       9.422367980970e-12      -9.544143459323e-15 
   41       1.634997192085e-10       8.348258393195e-15       1.828173402572e-13       6.477431653545e-17       6.771210418020e-11       8.986927165429e-12      -9.868430499910e-15 
   42       1.662148097745e-10       9.047772613089e-15       1.706988048311e-13       6.798055432324e-17       6.441755091431e-11       8.600577152616e-12      -9.685751125146e-15 
   43       1.689577862355e-10       9.783678764982e-15       1.569818032605e-13       7.126576079888e-17       6.133648711638e-11       8.195999023037e-12      -9.913593175116e-15 
   44       1.717290611796e-10       1.055657455592e-14       1.416001441663e-13       7.462996203880e-17       5.845139361903e-11       7.839789417862e-12      -9.663304523335e-15 
   45       1.745283593175e-10       1.136707031828e-14       1.245187679509e-13       7.807317813088e-17       5.574650091555e-11       7.514051933926e-12      -9.171508532018e-15 
   46       1.773556269543e-10       1.221573845698e-14       1.057311860876e-13       8.159542368513e-17       5.320757857661e-11       7.182256832222e-12      -9.197897011345e-15 
   47       1.802107276147e-10       1.310307255839e-14       8.525137470446e-14       8.519670839241e-17       5.082175264203e-11       6.892569701437e-12      -8.943233936060e-15 
   48       1.830937498464e-10       1.402946694725e-14       6.309422813535e-14       8.887703759802e-17       4.857735447192e-11       6.610609823245e-12      -8.939268581872e-15 
   49       1.860047999465e-10       1.499521294810e-14       3.926447267705e-14       9.263641290755e-17       4.646377903510e-11       6.340612302088e-12      -9.166006417779e-15 
   50       1.889434924886e-10       1.600049424726e-14       1.374815229395e-14       9.647483279462e-17       4.447140575764e-11       6.106001625750e-12      -8.940150840674e-15 
   51       1.919107120149e-10       1.704541061474e-14      -1.348734530232e-14       1.003922932362e-16       4.259159688922e-11       5.856197129051e-12      -9.321598589564e-15 
   52       1.949054825060e-10       1.813000698943e-14      -4.248495024959e-14       1.043887883461e-16       4.081634154451e-11       5.636792123986e-12      -9.253558198489e-15 
   53       1.979296993401e-10       1.925430552109e-14      -7.328646623165e-14       1.084643110364e-16       3.913827596697e-11       5.426698665413e-12      -9.106606703567e-15 
   54       2.009817858305e-10       2.041831191577e-14      -1.059205410883e-13       1.126188536806e-16       3.755064449701e-11       5.221284726173e-12      -9.139310506758e-15 
   55       2.040639202636e-10       2.162199638817e-14      -1.404025954626e-13       1.168524088074e-16       3.604743880649e-11       5.043356892828e-12      -8.622251189537e-15 
   56       2.071744093142e-10       2.286528604238e-14      -1.767285205169e-13       1.211649697941e-16       3.462308801857e-11       4.851184658533e-12      -8.866598358468e-15 
   57       2.103153956290e-10       2.414804326480e-14      -2.148802801258e-13       1.255565315844e-16       3.327230795043e-11       4.685469468509e-12      -8.638638216518e-15 
   58       2.134851336745e-10       2.547004580122e-14      -2.548377464492e-13       1.300270913931e-16       3.199027630520e-11       4.519703847299e-12      -8.683677447912e-15 
   59       2.166856021318e-10       2.683097900337e-14      -2.965843376791e-13       1.345766494291e-16       3.077281322142e-11       4.365150695101e-12      -8.728631600822e-15 
   60       2.199154989563e-10       2.823045128863e-14      -3.401104296169e-13       1.392052095965e-16       2.961576624892e-11       4.221400500412e-12      -8.566244655348e-15 
   61       2.231764620691e-10       2.966798636387e-14      -3.854182701283e-13       1.439127802090e-16       2.851527206404e-11       4.076977263241e-12      -8.770219768971e-15 
   62       2.264677888105e-10       3.114305004204e-14      -4.325149798255e-13       1.486993746770e-16       2.746808871360e-11       3.950961639114e-12      -8.361898125126e-15 
   63       2.297903589568e-10       3.265506841619e-14      -4.814025678526e-13       1.535650122097e-16       2.647090933924e-11       3.816005257993e-12      -8.654283343836e-15 
   64       2.331441008407e-10       3.420338680166e-14      -5.320818955942e-13       1.585097184890e-16       2.552064923387e-11       3.699305667290e-12      -8.331955663696e-15 
   65       2.365292364443e-10       3.578733321042e-14      -5.845485039681e-13       1.635335263562e-16       2.461477992286e-11       3.578950171464e-12      -8.432940110814e-15 
   66       2.399463798506e-10       3.740618118008e-14      -6.387756022158e-13       1.686364764676e-16       2.375055359025e-11       3.470319647386e-12      -8.263664018568e-15 
   67       2.433948636922e-10       3.905911703529e-14      -6.947383618547e-13       1.738186179637e-16       2.292561956344e-11       3.362771735090e-12      -8.229149042379e-15 
   68       2.468761816594e-10       4.074530831487e-14      -7.524039133018e-13       1.790800090973e-16       2.213786765810e-11       3.261703577316e-12      -8.220408894468e-15 
   69       2.503889253569e-10       4.246381365886e-14      -8.117346312330e-13       1.844207178733e-16       2.138501982030e-11       3.165176754813e-12      -8.079738725772e-15 
   70       2.539353777513e-10       4.421362134767e-14      -8.727079331219e-13       1.898408226427e-16       2.066538539245e-11       3.071411377559e-12      -8.188178098323e-15 
   71       2.575129627206e-10       4.599368120421e-14      -9.352936514725e-13       1.953404126981e-16       1.997696242590e-11       2.983974187771e-12      -7.931034266679e-15 
   72       2.611247307243e-10       4.780283925571e-14      -9.994650715538e-13       2.009195888301e-16       1.931818329987e-11       2.896904456480e-12      -8.107505608302e-15 
   73       2.647681750693e-10       4.963992050436e-14      -1.065204306423e-12       2.065784638744e-16       1.868745051463e-11       2.817058040549e-12      -7.737557511827e-15 
   74       2.684458199851e-10       5.150370502983e-14      -1.132481820056e-12       2.123171632248e-16       1.808321368029e-11       2.736374170268e-12      -7.969972355373e-15 
   75       2.721554595402e-10       5.339290773107e-14      -1.201265935846e-12       2.181358253355e-16       1.750423605988e-11       2.663234730382e-12      -7.524286524832e-15 
   76       2.758996261074e-10       5.530620052431e-14      -1.271519816166e-12       2.240346021870e-16       1.694903632868e-11       2.588690195830e-12      -7.823640804134e-15 
   77       2.796756338775e-10       5.724221452179e-14      -1.343198258555e-12       2.300136597396e-16       1.641660946153e-11       2.520550443818e-12      -7.447033556935e-15 
   78       2.834865757294e-10       5.919955494381e-14      -1.416253825644e-12       2.360731783452e-16       1.590559273105e-11       2.452144640898e-12      -7.699839773776e-15 
   79       2.873289389236e-10       6.117672455807e-14      -1.490634895797e-12       2.422133531539e-16       1.541513874384e-11       2.388766827267e-12      -7.386128060617e-15 
   80       2.912063363116e-10       6.317219215055e-14      -1.566300357747e-12       2.484343944647e-16       1.494401419579e-11       2.325884419933e-12      -7.587855669560e-15 
   81       2.951153744675e-10       6.518440528089e-14      -1.643200796103e-12       2.547365280687e-16       1.449149283268e-11       2.266965201242e-12      -7.309569871991e-15 
   82       2.990579163537e-10       6.721173113871e-14      -1.721293281438e-12       2.611199955276e-16       1.405651716531e-11       2.209755550681e-12      -7.166434251399e-15 
   83       3.030340930214e-10       6.925252662200e-14      -1.800531353576e-12       2.675850545485e-16       1.363829498228e-11       2.153979677289e-12      -7.201725821297e-15 
   84       3.070429543764e-10       7.130510935531e-14      -1.880866045689e-12       2.741319790439e-16       1.323602228255e-11       2.100416851799e-12      -7.165552111625e-15 
   85       3.110843701738e-10       7.336775359270e-14      -1.962249092118e-12       2.807610594538e-16       1.284899587465e-11       2.048973706147e-12      -7.075001738599e-15 
   86       3.151583058875e-10       7.543869521421e-14      -2.044629810517e-12       2.874726030402e-16       1.247645204944e-11       1.999342856776e-12      -7.003303455488e-15 
   87       3.192647365859e-10       7.751617588400e-14      -2.127949614026e-12       2.942669336919e-16       1.211776547009e-11       1.951397130590e-12      -6.946963644835e-15 
   88       3.234034706648e-10       7.959840297784e-14      -2.212146129593e-12       3.011443925619e-16       1.177226902499e-11       1.905051363005e-12      -6.885933101497e-15 
   89       3.275740948782e-10       8.168353636441e-14      -2.297154558521e-12       3.081053374556e-16       1.143940091455e-11       1.860256079426e-12      -6.819975118948e-15 
   90       3.317761180221e-10       8.376969805377e-14      -2.382909781585e-12       3.151501437725e-16       1.111856103944e-11       1.816961309222e-12      -6.752986849431e-15 
   91       3.360094917820e-10       8.585500592540e-14      -2.469352799590e-12       3.222792034292e-16       1.080925019025e-11       1.775120296837e-12      -6.683489736842e-15 
   92       3.402740962100e-10       8.793755088603e-14      -2.556424649974e-12       3.294929261342e-16       1.051093673995e-11       1.734665296972e-12      -6.609194163789e-15 
   93       3.445694102790e-10       9.001540593515e-14      -2.644062401654e-12       3.367917378435e-16       1.022316983893e-11       1.695478375767e-12      -6.530862831622e-15 
   94       3.488947891040e-10       9.208662275480e-14      -2.732200816018e-12       3.441760823748e-16       9.945468862893e-12       1.657453422850e-12      -6.450066501936e-15 
   95       3.532499810919e-10       9.414926672915e-14      -2.820772558316e-12       3.516464193832e-16       9.677426708929e-12       1.620640151999e-12      -6.368136786781e-15 
   96       3.576347180948e-10       9.620138647043e-14      -2.909709758893e-12       3.592032263256e-16       9.418610686748e-12       1.585076367816e-12      -6.285571990192e-15 
   97       3.620485836875e-10       9.824101432732e-14      -2.998947893588e-12       3.668469959559e-16       9.168651751788e-12       1.550589115363e-12      -6.199461026262e-15 
   98       3.664910260370e-10       1.002661688953e-13      -3.088420498681e-12       3.745782386408e-16       8.927158560736e-12       1.517017500986e-12      -6.109935338345e-15 
   99       3.709614628233e-10       1.022748921141e-13      -3.178051407672e-12       3.823974793662e-16       8.693797809434e-12       1.484541374080e-12      -6.034174679493e-15 
  100       3.754592384455e-10       1.042652235468e-13      -3.267763288041e-12       3.903052604127e-16       8.468216349706e-12       1.453356426451e-12      -5.987273239267e-15 
  101       3.799837889086e-10       1.062352156509e-13      -3.357488543965e-12       3.983021378755e-16       8.250108970705e-12       1.423328152508e-12      -5.953577274328e-15 
  102       3.845345166958e-10       1.081829107164e-13      -3.447160463433e-12       4.063886847001e-16       8.039155278336e-12       1.394247654886e-12      -5.913527980436e-15 
  103       3.891109107854e-10       1.101063319885e-13      -3.536706696326e-12       4.145654867124e-16       7.835091131566e-12       1.366010035149e-12      -5.868742704243e-15 
  104       3.937123753877e-10       1.120035088489e-13      -3.626053479223e-12       4.228331460155e-16       7.637638769525e-12       1.338554591986e-12      -5.825140583900e-15 
