# Matter power spectrum P(k) at redshift z=0
# for k=9.1423e-06 to 147.875 h/Mpc,
# number of wavenumbers equal to 1050
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.126607375373e-02       3.068784885736e+04 
       1.137875371015e-02       3.074637463082e+04 
       1.149146919543e-02       3.080196381959e+04 
       1.160422009082e-02       3.085467374089e+04 
       1.171700630389e-02       3.090451845986e+04 
       1.182982776790e-02       3.095154105799e+04 
       1.194268444115e-02       3.099581270246e+04 
       1.205557630635e-02       3.103730679090e+04 
       1.216850337014e-02       3.107612952012e+04 
       1.228146566253e-02       3.111228911527e+04 
       1.239446323645e-02       3.114578620154e+04 
       1.250749616736e-02       3.117672503138e+04 
       1.262056455281e-02       3.120509232503e+04 
       1.273366851212e-02       3.123094091610e+04 
       1.284680818605e-02       3.125429629934e+04 
       1.295998373653e-02       3.127519768322e+04 
       1.307319534634e-02       3.129369423558e+04 
       1.318644321896e-02       3.130978753554e+04 
       1.329972757831e-02       3.132353753234e+04 
       1.341304866858e-02       3.133495695712e+04 
       1.352640675410e-02       3.134412756790e+04 
       1.363980211921e-02       3.135100472148e+04 
       1.375323506810e-02       3.135568065383e+04 
       1.386670592483e-02       3.135814683032e+04 
       1.398021503316e-02       3.135847558143e+04 
       1.409376275660e-02       3.135668855411e+04 
       1.420734947833e-02       3.135275186196e+04 
       1.432097560123e-02       3.134679206323e+04 
       1.443464154790e-02       3.133879847150e+04 
       1.454834776069e-02       3.132880159143e+04 
       1.466209470175e-02       3.131680977491e+04 
       1.477588285314e-02       3.130285678475e+04 
       1.488971271689e-02       3.128700144762e+04 
       1.500358481509e-02       3.126931249003e+04 
       1.511749969009e-02       3.124968948092e+04 
       1.523145790458e-02       3.122827518818e+04 
       1.534546004177e-02       3.120509056288e+04 
       1.545950670556e-02       3.118008808679e+04 
       1.557359852077e-02       3.115336827478e+04 
       1.568773613330e-02       3.112488631211e+04 
       1.580192021036e-02       3.109477343725e+04 
       1.591615144076e-02       3.106296487761e+04 
       1.603043053512e-02       3.102956611366e+04 
       1.614475822615e-02       3.099449051835e+04 
       1.625913526894e-02       3.095784790509e+04 
       1.637356244130e-02       3.091969691981e+04 
       1.648804054401e-02       3.088001788723e+04 
       1.660257040124e-02       3.083881361980e+04 
       1.671715286081e-02       3.079616138371e+04 
       1.683178879467e-02       3.075200608742e+04 
       1.694647909916e-02       3.070646300635e+04 
       1.706122469554e-02       3.065953635320e+04 
       1.717602653029e-02       3.061119805846e+04 
       1.729088557565e-02       3.056153758157e+04 
       1.740580282999e-02       3.051055160358e+04 
       1.752077931833e-02       3.045830390173e+04 
       1.763581609284e-02       3.040470561079e+04 
       1.775091423327e-02       3.034990341542e+04 
       1.786607484759e-02       3.029389875718e+04 
       1.798129907241e-02       3.023663434518e+04 
       1.809658807367e-02       3.017824466920e+04 
       1.821194304711e-02       3.011862508173e+04 
       1.832736521894e-02       3.005791095216e+04 
       1.844285584646e-02       2.999613063962e+04 
       1.855841621868e-02       2.993317406063e+04 
       1.867404765700e-02       2.986922147338e+04 
       1.878975151591e-02       2.980420923517e+04 
       1.890552918366e-02       2.973818390811e+04 
       1.902138208306e-02       2.967109237190e+04 
       1.913731167218e-02       2.960309289990e+04 
       1.925331944516e-02       2.953409766729e+04 
       1.936940693303e-02       2.946411013937e+04 
       1.948557570450e-02       2.939328150777e+04 
       1.960182736688e-02       2.932146348939e+04 
       1.971816356692e-02       2.924896202428e+04 
       1.983458599175e-02       2.917543701401e+04 
       1.995109636982e-02       2.910107254595e+04 
       2.006769647190e-02       2.902599571646e+04 
       2.018438811204e-02       2.894996670069e+04 
       2.030117314864e-02       2.887324077007e+04 
       2.041805348555e-02       2.879576947850e+04 
       2.053503107310e-02       2.871753558738e+04 
       2.065210790932e-02       2.863860277697e+04 
       2.076928604110e-02       2.855887660924e+04 
       2.088656756536e-02       2.847846244399e+04 
       2.100395463038e-02       2.839740276742e+04 
       2.112144943704e-02       2.831573362992e+04 
       2.123905424017e-02       2.823336298631e+04 
       2.135677134997e-02       2.815039027515e+04 
       2.147460313338e-02       2.806687377172e+04 
       2.159255201561e-02       2.798272216842e+04 
       2.171062048161e-02       2.789797245782e+04 
       2.182881107768e-02       2.781266645576e+04 
       2.194712641310e-02       2.772688828228e+04 
       2.206556916176e-02       2.764049772995e+04 
       2.218414206396e-02       2.755368901619e+04 
       2.230284792814e-02       2.746634288124e+04 
       2.242168963278e-02       2.737851111871e+04 
       2.254067012831e-02       2.729026531886e+04 
       2.265979243906e-02       2.720157076831e+04 
       2.277905966536e-02       2.711240679207e+04 
       2.289847498562e-02       2.702280431680e+04 
       2.301804165853e-02       2.693291701334e+04 
       2.313776302535e-02       2.684257980212e+04 
       2.325764251225e-02       2.675186240049e+04 
       2.337768363273e-02       2.666077823135e+04 
       2.349788999016e-02       2.656935257360e+04 
       2.361826528040e-02       2.647757700753e+04 
       2.373881329446e-02       2.638550666272e+04 
       2.385953792133e-02       2.629305017842e+04 
       2.398044315090e-02       2.620051701974e+04 
       2.410153307694e-02       2.610760237426e+04 
       2.422281190023e-02       2.601433532315e+04 
       2.434428393182e-02       2.592087031991e+04 
       2.446595359636e-02       2.582724253923e+04 
       2.458782543558e-02       2.573325685463e+04 
       2.470990411197e-02       2.563910470951e+04 
       2.483219441246e-02       2.554473295445e+04 
       2.495470125236e-02       2.545025004356e+04 
       2.507742967943e-02       2.535546039514e+04 
       2.520038487806e-02       2.526058209939e+04 
       2.532357217365e-02       2.516544795485e+04 
       2.544699703721e-02       2.507023827217e+04 
       2.557066509004e-02       2.497486289512e+04 
       2.569458210868e-02       2.487938412800e+04 
       2.581875403005e-02       2.478370801336e+04 
       2.594318695678e-02       2.468800526245e+04 
       2.606788716274e-02       2.459210764281e+04 
       2.619286109890e-02       2.449619000411e+04 
       2.631811539930e-02       2.440019054083e+04 
       2.644365688737e-02       2.430405729163e+04 
       2.656949258250e-02       2.420795576866e+04 
       2.669562970688e-02       2.411173381230e+04 
       2.682207569261e-02       2.401538883495e+04 
       2.694883818922e-02       2.391900377644e+04 
       2.707592507139e-02       2.382273525924e+04 
       2.720334444715e-02       2.372636732275e+04 
       2.733110466633e-02       2.362994672620e+04 
       2.745921432949e-02       2.353350629373e+04 
       2.758768229717e-02       2.343713899745e+04 
       2.771651769967e-02       2.334075620411e+04 
       2.784572994721e-02       2.324427435662e+04 
       2.797532874062e-02       2.314789178498e+04 
       2.810532408246e-02       2.305155987995e+04 
       2.823572628878e-02       2.295533200118e+04 
       2.836654600141e-02       2.285899538847e+04 
       2.849779420081e-02       2.276269870391e+04 
       2.862948221961e-02       2.266648169156e+04 
       2.876162175681e-02       2.257038271185e+04 
       2.889422489271e-02       2.247425646369e+04 
       2.902730410456e-02       2.237828166779e+04 
       2.916087228309e-02       2.228231691190e+04 
       2.929494274984e-02       2.218648110075e+04 
       2.942952927541e-02       2.209066467140e+04 
       2.956464609872e-02       2.199495903435e+04 
       2.970030794728e-02       2.189929585644e+04 
       2.983653005854e-02       2.180374623408e+04 
       2.997332820245e-02       2.170830646450e+04 
       3.011071870525e-02       2.161294010659e+04 
       3.024871847465e-02       2.151769306380e+04 
       3.038734502633e-02       2.142253452154e+04 
       3.052661651207e-02       2.132753407343e+04 
       3.066655174945e-02       2.123267636176e+04 
       3.080717025335e-02       2.113778385015e+04 
       3.094849226925e-02       2.104308816710e+04 
       3.109053880859e-02       2.094853348700e+04 
       3.123333168627e-02       2.085401464353e+04 
       3.137689356045e-02       2.075964470513e+04 
       3.152124797482e-02       2.066550122627e+04 
       3.166641940356e-02       2.057149281529e+04 
       3.181243329916e-02       2.047747782298e+04 
       3.195931614334e-02       2.038363007676e+04 
       3.210709550131e-02       2.028988098223e+04 
       3.225580007958e-02       2.019628754075e+04 
       3.240545978774e-02       2.010287583557e+04 
       3.255610580438e-02       2.000956390081e+04 
       3.270777064756e-02       1.991635877410e+04 
       3.286048825027e-02       1.982322565809e+04 
       3.301429404117e-02       1.973036037643e+04 
       3.316922503112e-02       1.963754637726e+04 
       3.332531990612e-02       1.954484671008e+04 
       3.348261912700e-02       1.945222682262e+04 
       3.364116503662e-02       1.935985308857e+04 
       3.380100197525e-02       1.926753606026e+04 
       3.396217640486e-02       1.917532635502e+04 
       3.412473704305e-02       1.908324094607e+04 
       3.428873500773e-02       1.899110213747e+04 
       3.445422397347e-02       1.889929953659e+04 
       3.462126034056e-02       1.880746191376e+04 
       3.478990341831e-02       1.871583705432e+04 
       3.496021562374e-02       1.862426776401e+04 
       3.513226269738e-02       1.853271860309e+04 
       3.530611393793e-02       1.844129494011e+04 
       3.548184245786e-02       1.834997945574e+04 
       3.565952546193e-02       1.825873581160e+04 
       3.583924455151e-02       1.816758888915e+04 
       3.602108605724e-02       1.807649008559e+04 
       3.620514140343e-02       1.798539676191e+04 
       3.639150750778e-02       1.789432486358e+04 
       3.658028722053e-02       1.780333022755e+04 
       3.677158980783e-02       1.771235110324e+04 
       3.696553148464e-02       1.762146752832e+04 
       3.716223600330e-02       1.753052291219e+04 
       3.736183530482e-02       1.743954579139e+04 
       3.756447024092e-02       1.734868181378e+04 
       3.777029137619e-02       1.725769623905e+04 
       3.797945988100e-02       1.716665879615e+04 
       3.819214852768e-02       1.707563410546e+04 
       3.840854280422e-02       1.698451354367e+04 
       3.862884216247e-02       1.689330079997e+04 
       3.885326142018e-02       1.680202039492e+04 
       3.908203234004e-02       1.671055110287e+04 
       3.931540541240e-02       1.661896634545e+04 
       3.955365187363e-02       1.652723746823e+04 
       3.979706599746e-02       1.643531745132e+04 
       4.004596770395e-02       1.634319830852e+04 
       4.030070553905e-02       1.625083683144e+04 
       4.056166008822e-02       1.615818496378e+04 
       4.082924790010e-02       1.606530026948e+04 
       4.110392601194e-02       1.597204557010e+04 
       4.138619718772e-02       1.587847172311e+04 
       4.167661600346e-02       1.578440384233e+04 
       4.197579594424e-02       1.568997773838e+04 
       4.228441771406e-02       1.559497901607e+04 
       4.260323900618e-02       1.549947641363e+04 
